Year,Rider,Circuit,Race
1936,René Bourra,Saint-Germain-en-Laye,Bol d'Or
1959,Conrado Cadirat,Montjuïc,24 Horas de Montjuïc
1966,Pedro Bernaus,Montjuïc,24 Horas de Montjuïc
1970,Franz Huber,Circuit Maashaven,24 Hours of Oss
1970,Gerald Bunting,Montjuïc,24 Horas de Montjuïc
1970,Peter Strauss,Montjuïc,24 Horas de Montjuïc
1970,Satoru Takashima,Suzuka,Suzuka 10 Hours Production
1971,Herman Hertsens,Circuit Maashaven,24 Hours of Oss
1971,Lambert Schuurmans,Circuit Maashaven,24 Hours of Oss
1972,Claude Romain,Zolder,24 Hours of Liège
1973,Francisco Cufí,Montjuïc,24 Horas de Montjuïc
1975,Hans Hutten,Circuit Maashaven,24 Hours of Oss
1976,Francisco Teixeira,Interlagos,24 Horas de Interlagos
1976,Gilbert Lavelle,Bugatti,Bol d'Or
1983,Kunio Katsumata,Suzuka,Suzuka 8 Hours
1985,Dominique Litaudon,Bugatti,24 Hours of Le Mans
1985,Nickolaus Ruck,Montjuïc,24 Horas de Montjuïc
1985,Jean-Pierre Haemisch,Spa-Francorchamps,24 Hours of Liège
1985,Harald Layher,Spa-Francorchamps,24 Hours of Liège
1986,Erwin Loichinger,Hockenheim,1000 km Hockenheim
