Name,Class year ( s ),Degree ( s ),Notability
Michael A. Andrews,1967,BA,Former representative ( D ) from Texas ' 3rd congressional district
William R. Archer,1946 1951,BA LL.B,United States Representative from Texas ( 1971-2001 )
Steve Bartlett,1971,BA,Former member of the U.S. House of Representatives ( 1983-1991 )
James Andrew Beall,1890,JD,Former member of the U.S. House of Representatives ( 1903-1925 )
Chris Bell,1982,BJ,Former member of the U.S. House of Representatives ( 2003-2005 )
John Junior Bell,1932 1936,College JD,Former member of the U.S. House of Representatives ( 1955-1957 )
Lloyd Bentsen,1942,JD,"U.S. representative ( 1948-1955 ) , U.S. senator ( 1970-1992 ) , U.S. vice presidential candidate ( 1988 ) , and secretary of the treasury under President Bill Clinton"
Thomas Lindsay Blanton,1897,JD,"Former member of the U.S. House of Representatives ( 1917-1929 , and 1930-1937 )"
Eldon Beau Boulter,1965,BA,Former member of the United States House of Representatives from Amarillo ( 1985-1989 )
Jack Brooks,1943 1949,BA LL.B,Former member of the U.S. House of Representatives ( 1953-1966 and 1967-1995 )
J. E. Buster Brown,1962,BBA JD,Former member of the U.S. House of Representatives ( 1989-2001 )
Jim Chapman,1968,BBA,Former member of the U.S. House of Representatives ( 1985-1997 )
Henry Cuellar,1981 1998,JD PhD,Member of the U.S. House of Representatives ( 2005- )
Lloyd Doggett,1967 1970,BA JD,"Former justice of the Texas Supreme Court ( 1989-1994 ) , Member of the U.S. House of Representatives ( 1995- )"
Bob Eckhardt,1935 1939,BA LL.B,Former member of the U.S. House of Representatives ( 1967-1981 )
Pete Geren,1974 1978,BA JD,Former member of the U.S. House of Representatives ( 1989-1997 )
Charles Gonzalez,1969,BA,Member of the U.S. House of Representatives ( 1999- )
Ed Gossett,1924 1927,BA LL.B,Former member of the U.S. House of Representatives ( 1939-1951 )
Rubén E. Hinojosa,1962,BBA,Member of the U.S. House of Representatives ( 1997- )
Frank Ikard,1936 1937,BA LL.B,Former member of the U.S. House of Representatives ( 1951-1961 )
