Team,Location,Arena,Manager
Amazon Grimstad,Grimstad,Levermyr Stadion,Margunn Haugenes
Arna-Bjørnar,Bergen,Arna Stadion,Morten Kalvenes
Fart,Vang,Fartbana,
Kattem,Trondheim,Åsheim kunstgress,Steinar Mikkelsen
Kolbotn,Kolbotn,Sofiemyr Stadion,Kjell S. H. Wold
Klepp,Klepp,Klepp Stadion,Knut Eriksen
Lillestrøm,Lillestrøm,LSK-Hallen,Ranveig Karlsen
Røa,Oslo,Røa Kunstgress,Geir Nordby
Sandviken,Bergen,Stemmemyren idrettsplass,Arne Møller
Stabæk,Bærum,Nadderud Stadion,Øyvind Eide
Trondheims-Ørn,Trondheim,DnB NOR Arena,Thomas Dahle
Vålerenga,Oslo,Vallhall Arena,Anita Waage
