No,Temple,Honzon ( main image ),City/Ward/Town,Prefecture
1,Seiganto-ji,Nyoirin Kannon ( Cintāmani-cakra ),Nachikatsuura,Wakayama
2,Ki-mii-dera,Jūichimen Kannon ( Ekādaśamukha ),Wakayama,Wakayama
3,Kokawa-dera,Senju Kannon ( Sahasra-bhuja Sahasra-netra ),Kinokawa,Wakayama
4,Sefuku-ji,Senju Kannon ( Sahasra-bhuja Sahasra-netra ),Izumi,Osaka
5,Fujii-dera,Senju Kannon ( Sahasra-bhuja Sahasra-netra ),Fujiidera,Osaka
6,Minamihokke-ji ( Tsubosaka-dera ),Senju Kannon ( Sahasra-bhuja Sahasra-netra ),Takatori,Nara
7,Oka-dera,Nyoirin Kannon ( Cintāmani-cakra ),Asuka,Nara
Bangai,Hōki-in,,Sakurai,Nara
8,Hase-dera,Jūichimen Kannon ( Ekādaśamukha ),Sakurai,Nara
9,Nan'endō ( Kofuku-ji ),Fukūkenjaku Kannon ( Amoghapāśa ),Nara,Nara
10,Mimuroto-ji,Senju Kannon ( Sahasra-bhuja ),Uji,Kyoto
11,Kami Daigo-ji,Juntei Kannon ( Cundi ),"Fushimi-ku , Kyoto",Kyoto
12,Shōhō-ji ( Iwama-dera ),Senju Kannon ( Sahasra-bhuja ),Otsu,Shiga
13,Ishiyama-dera,Nyoirin Kannon ( Cintāmani-cakra ),Otsu,Shiga
14,Mii-dera,Nyoirin Kannon ( Cintāmani-cakra ),Otsu,Shiga
Bangai,Gankei-ji,,Kyoto,Kyoto
15,Imakumano Kannon-ji,Jūichimen Kannon ( Ekādaśamukha ),"Higashiyama-ku , Kyoto",Kyoto
16,Kiyomizu-dera,Senju Kannon ( Sahasra-bhuja Sahasra-netra ),"Higashiyama-ku , Kyoto",Kyoto
17,Rokuharamitsu-ji,Jūichimen Kannon ( Ekādaśamukha ),"Higashiyama-ku , Kyoto",Kyoto
18,Chōhō-ji ( Rokkaku-dō ),Nyoirin Kannon ( Cintāmani-cakra ),"Nakagyo-ku , Kyoto",Kyoto
