Player,Replaced,Team,Reason for replacement
Kyle Abbott,Rajagopal Sathish,Kings XI Punjab,Knee injury
Ben Cutting,Stuart Broad,Kings XI Punjab,Calf injury
Dwayne Smith,Mitchell Johnson,Mumbai Indians,Toe injury
Prasanth Parameswaran,Sreenath Aravind,Royal Challengers Bangalore,Knee injury
Gulam Bodi,Colin Ingram,Delhi Daredevils,Injury
Glenn Maxwell,Travis Birt,Delhi Daredevils,Injury
Tamim Iqbal,James Hopes,Pune Warriors India,Injury
Michael Clarke,Yuvraj Singh,Pune Warriors India,Cancer treatment
Marlon Samuels,Graeme Smith,Pune Warriors India,Ankle injury
Steve Smith,Mitchell Marsh,Pune Warriors India,Injury
Luke Wright,Tim Paine,Pune Warriors India,-
Richard Levi,Andrew Symonds,Mumbai Indians,Retirement
Owais Shah,Shane Warne,Rajasthan Royals,Retirement
