Name,Nationality,Position,Kelantan career,Appearances,Goals
Khairul Fahmi Che Mat,Malaysia,GK,2009- present,280,0 ^a
Mohd Shahrizan Ismail,Malaysia,GK,"1995-1997 , 1998-2001 , 2008-2017",75,0
Ramadhan Hamid,Malaysia,GK,2016- present,15,0 ^a
Ahmad Syihan Hazmi Mohamed,Malaysia,GK,2017,0,0
Muhammad Syazwan Yusoff,Malaysia,GK,2011-2016,2,0
Faizol Nazlin Sayuti,Malaysia,DF,2014- present,7,0 ^a
Tuan Muhamad Faim,Malaysia,DF,2012-2016,6,0
Nik Shahrul Azim,Malaysia,DF,2011- present,92,1 ^a
Hasmizan Kamarodin,Malaysia,DF,2017,4,0
Mohamad Faris Shah Rosli,Malaysia,"DF , MF",2016- present,15,0 ^a
Azwan Aripin,Malaysia,DF,2016- present,2,0 ^a
Farisham Ismail,Malaysia,DF,"2004-2005 , 2008- present",123,1 ^a
Muslim Ahmad,Malaysia,DF,2016,22,0
Norhafiz Zamani Misbah,Malaysia,DF,2015-2017,67,0
Zairul Fitree Ishak,Malaysia,DF,"2005-2006 , 2009-2017",123,1
Wan Zack Haikal,Malaysia,"MF , ST",2015-2016,59,11
Wan Zaharulnizam Zakaria,Malaysia,MF,2014-2016,71,15
Fadhilah Pauzi,Malaysia,MF,2016- present,7,0 ^a
Shahrul Hakim,Malaysia,MF,2016- present,3,0 ^a
Syafiq Rahman,Malaysia,MF,2016- present,2,0 ^a
