Opponent,S,Occurrences,GP,Rec,%
St. Louis Blues,6,"2000 , 2001 , 2004 , 2012 , 2016 , 2019",35,3-3,.500
Colorado Avalanche,5,"1999 , 2002 , 2004 , 2010 , 2019",32,3-2,.600
Detroit Red Wings,5,"1994 , 1995 , 2007 , 2010 , 2011",29,3-2,.600
Los Angeles Kings,4,"2011 , 2013 , 2014 , 2016",25,2-2,.500
Nashville Predators,3,"2006 , 2007 , 2016",17,3-0,1.000
Calgary Flames,3,"1995 , 2004 , 2008",20,2-1,.667
Dallas Stars,3,"1998 , 2000 , 2008",17,0-3,.000
Anaheim Ducks,2,"2009 , 2018",10,1-1,.500
Vancouver Canucks,2,"2011 , 2013",9,1-1,.500
Vegas Golden Knights,2,"2018 , 2019",13,1-1,.500
Edmonton Oilers,2,"2006 , 2017",12,0-2,.000
Arizona Coyotes,1,2002,5,1-0,1.000
Chicago Blackhawks,1,2010,4,0-1,.000
Pittsburgh Penguins,1,2016,6,0-1,.000
Toronto Maple Leafs,1,1994,7,0-1,.000
Totals,41,,241,20-21,.489
