Division,Capital City,Area ( km² ),Population ( 2008 ),Key
Andijan Region Uzbek : Андижон вилояти/Andijon Viloyati Russian : Андижанская область ( Andizhanskaya oblast ' ),Andijan Andijon,"4,303","2,965,500",2
Bukhara Region Uzbek : Бухоро вилояти/Buxoro Viloyati Russian : Бухарская область ( Bukharskaya oblast ' ),Bukhara Buxoro,"41,937","1,843,500",3
Fergana Region Uzbek : Фарғона вилояти/Fargʻona Viloyati Russian : Ферганская область ( Ferganskaya oblast ' ),Fergana Fargʻona,"7,005","3,564,800",4
Jizzakh Region Uzbek : Жиззах вилояти/Jizzax Viloyati Russian : Джизакская область ( Dzhizakskaya oblast ' ),Jizzakh Jizzax,"21,179","1,301,000",5
Karakalpakstan Republic Karakalpak : Қарақалпақстан Республикасы/Qaraqalpaqstan Respublikasiʻ Uzbek : Қорақалпоғистон Республикаси/Qoraqalpogʻiston Respublikasi Russian : Республика Каракалпакстан ( Respublika Karakalpakstan ' ),Nukus Nokis Nukus,"161,358","1,817,500",14
Kashkadarya Region Қашқадарё вилояти/Qashqadaryo Viloyati Russian : Кашкадарьинская область ( Kashkadar'inskaya oblast ' ),Karshi Qarshi,"28,568","3,088,800",8
Khorezm Region Хоразм вилояти/Xorazm Viloyati Russian : Хорезмская область ( Khorezmskaya oblast ' ),Urgench Urganch,"6,464","1,776,700",13
Namangan Region Uzbek : Наманган вилояти/Namangan Viloyati Russian : Наманганская область ( Namanganskaya oblast ' ),Namangan Namangan,"7,181","2,652,400",6
Navoiy Region Uzbek : Навоий вилояти/Navoiy Viloyati Russian : Навоийская область ( Navoijskaya oblast ' ),Navoiy Navoiy,"109,375","942,800",7
Samarkand Region Uzbek : Самарқанд вилояти/Samarqand Viloyati Russian : Самаркандская область ( Samarkandskaya oblast ' ),Samarkand Samarqand,"16,773","3,651,700",9
Surkhandarya Region Uzbek : Сурхондарё вилояти/Surxondaryo Viloyati Russian : Сурхандарьинская область ( Surkhandar'inskaya oblast ' ),Termez Termiz,"20,099","2,462,300",11
Syrdarya Region Uzbek : Сирдарё вилояти/Sirdaryo Viloyati Russian : Сырдарьинская область ( Syrdar'inskaya oblast ' ),Gulistan Guliston,"4,276","803,100",10
Tashkent City Russian : Ташкент ( Tashkent ) Uzbek : Тошкент/Toshkent Shahri,Tashkent Toshkent,327,"2,424,100",1
Tashkent Region Russian : Ташкентская область ( Tashkentskaya oblast ' ) Uzbek : Тошкент вилояти/Toshkent Viloyati,Nurafshon Nurafshon,"15,258","2,829,300",12
