Position,Player,To club,Fee
Midfielder,Dimitri Petratos,Brisbane Roar,align=right| 0
Defender,Lek Kćira,HNK Gorica,align=right| 0
DRLC,Mohd Daudsu Jamaluddin,Johor Darul Takzim,align=right| 0
DRLC,S. Subramaniam,Johor Darul Takzim,align=right| 0
DMC,Mohd Shakir Shaari,Johor Darul Takzim,align=right| 0
DC,Mohd Rizal Fahmi Abdul Rosid,Selangor,align=right| 0
DL,Mohd Zamri Ramli,Suspension,align=right| 0
DC,Mohamad Muzammel Madiran,FELDA United U23,align=right| 0
DR,Wan Amirul Afiq Wan Abdul Rahman,FELDA United U23,align=right| 0
AMC,Irwan Jasman Azhar,FELDA United U21,align=right| 0
ST,Muhamad Raim Azmi,FELDA United U23,align=right| 0
ST,Mohd Azyu Ikmal Che Mat Nor,FELDA United U23,align=right| 0
DL,Mohd Qayyum Marjoni Sabil,Harimau Muda A,align=right| 0
ST,Muhammad Ashnizan Daud,Kuala Lumpur FA,align=right| 0
AMRC,Mohamad Faiz Mohd Nasir,PBAPP,align=right| 0
DC,Muhd Khairudin Ramli,FELDA United U23,align=right| 0
AMLC,Indra Putra Mahayuddin,FELDA United,align=right| 0
DC,Azizi Matt Rose,Johor Darul Takzim,align=right| 0
AML,Muhd Izuan Salahuddin,Sime Darby,align=right| 0
ST,Mohd Haris Safwan Mohd Kamal,FELDA United,align=right| 0
