,Player,Goals,Years,Clubs
1,Kiril Lazarov,1306,1998-,"Pelister , MKB Veszprém , Zagreb , Atlético Madrid , Barcelona , HBC Nantes"
2,Nikola Karabatic,1038,2002-,"Montpellier , THW Kiel , FC Barcelona , Paris Saint-Germain"
3,Momir Ilić,1033,2004-2019,"Gorenje , VfL Gummersbach THW Kiel , MKB Veszprém"
4,Marko Vujin,898,2006-,"MKB Veszprém , THW Kiel"
5,Siarhei Rutenka,862,2001-2016,"Celje Pivovarna Laško , Ciudad Real , Barcelona"
6,Uwe Gensheimer,851,2007-,"Rhein-Neckar Löwen , Paris Saint-Germain"
7,Timur Dibirov,840,2004-,"Chehovski Medvedi , RK Vardar"
8,László Nagy,818,2000-2019,"Barcelona , MKB Veszprém"
9,Mikkel Hansen,780,2007-,"GOG Svendborg , Barcelona , AG København , Paris Saint-Germain"
10,Vid Kavtičnik,725,2004-,"RK Gorenje Velenje , THW Kiel , Montpellier"
