Round,Pick #,Overall,Name,Position,College
3,10,65,Carlos Jenkins,Linebacker,Michigan State
3,13,68,Jake Reed,Wide receiver,Grambling
4,9,92,Randy Baldwin,Running back,Mississippi
5,8,119,Chris Thorne,Center,Minnesota
6,24,163,Todd Scott,Safety,Southwestern Louisiana
7,12,179,Scotty Reagan,Defensive tackle,Humboldt State
7,13,180,Tripp Welborne,Safety,Michigan
8,11,206,Reggie Johnson,Defensive end,Arizona
9,9,232,Gerald Hudson,Running back,Oklahoma State
10,9,259,Brady Pierce,Tackle,Wisconsin
11,8,286,Ivan Caesar,Linebacker,Boston College
12,7,313,Darren Hughes,Wide receiver,Carson-Newman
