Club,Greek name,Settlement,Regional unit,Region
Apollon Larissa,Απόλλων Λάρισας,Larissa,Larissa,Thessaly
Apollon Pontos,Απόλλων Πόντου,Kalamaria,Thessaloniki,Central Macedonia
Apollon Smyrni,Απόλλων Σμύρνης,Rizoupoli,Central Athens,Attica
Doxa Drama,Δόξα Δράμας,Drama,Drama,East Macedonia and Thrace
Ergotelis,Εργοτέλης,Heraklion,Heraklion,Crete
Karaiskakis Arta,Καραϊσκάκης Άρτας,Arta,Arta,Epirus
Levadiakos,Λεβαδειακός,Livadeia,Boeotia,Central Greece
PAE Chania,Π.Α.Ε . Χανιά,Mournies,Chania,Crete
PAE Kerkyra,Α.Ο.Κ . Κέρκυρα,Corfu,Corfu,Ionian Islands
Panachaiki,Παναχαϊκή,Patras,Achaea,West Greece
PAS Giannina,Π.Α.Σ . Γιάννινα,Ioannina,Ioannina,Epirus
Platanias,Πλατανιάς,Platanias,Chania,Crete
