Game,Publisher,Release Date,Platform,MC score,GR score
The Legend of Zelda : Twilight Princess,Nintendo,"December 2 , 2006",GameCube,96/100,95%
The Legend of Zelda : Twilight Princess,Nintendo,"November 19 , 2006",Wii,95/100,94.58%
Gears of War,Microsoft Game Studios,"November 7 , 2006",Xbox 360,94/100,93.97%
The Elder Scrolls IV : Oblivion,2K Games,"March 20 , 2006",Xbox 360,94/100,93.85%
The Elder Scrolls IV : Oblivion,2K Games,"March 20 , 2006",Microsoft Windows,94/100,93.29%
Company of Heroes,THQ,"September 13 , 2006",Microsoft Windows,93/100,93.93%
Ōkami,Capcom,"April 20 , 2006",PlayStation 2,93/100,92.65%
Guitar Hero II,RedOctane,"November 7 , 2006",PlayStation 2,92/100,92.07%
Final Fantasy VI Advance,Square Enix,"November 30 , 2006",Game Boy Advance,92/100,91.02%
Final Fantasy XII,Square Enix,"March 16 , 2006",PlayStation 2,92/100,90.77%
Tom Clancy 's Ghost Recon Advanced Warfighter,Ubisoft,"March 9 , 2006",Xbox 360,90/100,90.47%
GTR 2 - FIA GT Racing Game,10tacle Studios,"September 29 , 2006",Microsoft Windows,90/100,89.4%
Tom Clancy 's Rainbow Six : Vegas,Ubisoft,"November 22 , 2006",Xbox 360,88/100,89.39%
Tom Clancy 's Splinter Cell : Double Agent,Ubisoft,"October 24 , 2006",Xbox,89/100,89.31%
New Super Mario Bros,Nintendo,"May 15 , 2006",Nintendo DS,89/100,89.07%
Burnout Revenge,Electronic Arts,"March 7 , 2006",Xbox 360,89/100,88.57%
Armadillo Run,Peter Stock,"April 22 , 2006",Microsoft Windows,88/100,89%
Elite Beat Agents,Nintendo,"November 6 , 2006",Nintendo DS,87/100,88.33%
Tekken 5 : Dark Resurrection,Namco Bandai Games,"July 6 , 2006",PlayStation Portable,88/100,88.27%
NCAA Football 07,EA Sports,"July 18 , 2006",Xbox,88/100,88.12%
