Name,Age,Position,Club
Alex Jesaulenko ( c ),29,Full-forward,Carlton
Ross Abbey,22,Half back flanker,Footscray
Stan Alves,29,Wingman,Melbourne
Kevin Bartlett,28,Rover,Richmond
Peter Bedford,27,Half forward flanker,South Melbourne
Malcolm Blight,25,Centre half forward,North Melbourne
Phil Carman,24,Forward,Collingwood
Gary Dempsey,26,Ruckman,Footscray
Glenn Elliott,24,Utility,St Kilda
Ken Fletcher,27,Wingman,Essendon
Keith Greig,23,Wingman,North Melbourne
Gary Hardeman,25,Utility,Melbourne
Warwick Irwin,23,Ruck-rover,Fitzroy
Wayne Judson,22,Back pocket,St Kilda
Peter Knights,23,Centre half back,Hawthorn
Leigh Matthews,23,Rover,Hawthorn
Craig McKellar,25,Ruckman,Richmond
Kevin Morris,23,Half back flanker,Richmond
Graham Moss,25,Ruckman,Essendon
Bruce Nankervis,24,Half back flanker,Geelong
