Team,Location,Stadium,Capacity
Phitsanulok TSY,Phitsanulok,Phitsanulok Province Stadium,"3,066"
Lamphun Warrior,Lamphun,Lamphun Provincial Administrative Organization Stadium,?
Phichit,Phichit,Phichit Province Stadium,"20,000"
Uttaradit-Morseng,Uttaradit,Mon-mai Stadium,"3,245"
Nakhon Sawan,Nakhon Sawan,Nakhon Sawan Province Stadium,?
Kamphaeng Phet,Kamphaeng Phet,Kamphaeng Phet Province Stadium,"2,580"
Uthai Thani Forest,Uthai Thani,Uthai Thani Province Stadium,"4,477"
Singburi,Singburi,Singburi Province Stadium,"3,449"
Lampang,Lampang,Lampang Province Stadium,"4,705"
Phrae United,Phrae,Phrae Provincial Administrative Organization Stadium,"4,500"
Sukhothai,Sukhothai,Sukhothai Institute of Physical Education Stadium,"4,500"
Phetchabun,Phetchabun,Phetchabun Institute of Physical Education Stadium,?
Tak,Tak,Tak Province Stadium,"3,171"
Chiangrai,Chiangrai,Chiangrai Provincial Administrative Organization Stadium,"5,000"
Phayao,Phayao,Fakkwanwittayakom School Stadium,?
Nan,Nan,Rajamangala University of Technology Nan Campus Stadium,?
