Year,Title,Roles
1974,Mundo de juguete,Aldo
1975,Pobre Clara,
1977,Yo no pedí vivir,Manuel
1977,Humillados y ofendidos,Alejandro Correa
1978,María José,Alfredo
1979-1980,Los ricos también lloran,Leonardo Mendizabal
1980,Juventud,Pablo
1980,Ambición,Alfredo
1981,El hogar que yo robé,Eduardo
1983,Chispita,Juan Carlos de la Mora
1983-1984,La fiera,Miguel Martínez Bustamante
1984-1985,"Sí , mi amor",David Kendall
1984-1986,Principessa,Federico
1985,Juana Iris,
1986,Seducción,Julio
1987,Como duele callar,José Luis
1988,Rosa salvaje,Enrique Molina
1988,Encadenados,Daniel
1989,Papá soltero,
1992,De frente al sol,Young Adrián Bermúdez
