Year,Winner,Score,Runner-up,Host
1998,Concordia Stingers,4-1,Toronto Lady Blues,Concordia Stingers
1999,Concordia Stingers,2-0,Alberta Pandas,Toronto Lady Blues
2000,Alberta Pandas,2-0,McGill Martlets,Concordia Stingers
2001,Toronto Lady Blues,4-3,Regina Cougars,Calgary Dinos
2002,Alberta Pandas,5-2,Wilfrid Laurier Golden Hawks,Regina Cougars
2003,Alberta Pandas,5-4 ( OT ),Toronto Lady Blues,Regina Cougars
2004,Alberta Pandas,2-0,Ottawa Gee-Gees,McGill Martlets
2005,Wilfrid Laurier Golden Hawks,4-1,Alberta Pandas,McGill Martlets
2006,Alberta Pandas,2-1,Wilfrid Laurier Golden Hawks,St. Francis Xavier X-Women
2007,Alberta Pandas,4-0,McGill Martlets,Ottawa Gee-Gees
2008,McGill Martlets,2-0,Wilfrid Laurier Golden Hawks,Ottawa Gee-Gees
2009,McGill Martlets,3-1,Wilfrid Laurier Golden Hawks,St. Francis Xavier X-Women
2010,Alberta Pandas,2-0,McGill Martlets,St. Francis Xavier X-Women
2011,McGill Martlets,5-2,St. Francis Xavier X-Women,Wilfrid Laurier Golden Hawks
2012,Calgary Dinos,5-1,Montreal Carabins,Alberta Pandas
2013,Montreal Carabins,3-2,Calgary Dinos,Toronto Lady Blues
2014,McGill Martlets,4-3 ( 2OT ),Montreal Carabins,St. Thomas Tommies
2015,Western Mustangs,5-0,McGill Martlets,Calgary Dinos
2016,Montreal Carabins,8-0,UBC Thunderbirds,Calgary Dinos
2017,Alberta Pandas,2-1 ( 2OT ),McGill Martlets,Queen 's Gaels
