Player,Doubles,Seasons & Teams
Tris Speaker,792,1907-15 Boston ( AL ) ; 16-26 Cleveland ; 27 Washington ( AL ) ; 28 Philadelphia ( AL )
Pete Rose,746,"1963-78 , 84-86 Cincinnati ; 79-83 Philadelphia ( NL ) ; 84 Montréal"
Stan Musial,725,"1941-44 , 46-63 St. Louis ( NL )"
Ty Cobb,724,1905-26 Detroit ; 27-28 Philadelphia ( AL )
Craig Biggio,668,1988-2007 Houston
George Brett,665,1973-93 Kansas City
Napoleon Lajoie,657,"1896-1900 Philadelphia ( NL ) ; 01-02 , 15-16 Philadelphia ( AL ) ; 02-14 Cleveland"
Carl Yastrzemski,646,1961-83 Boston ( AL )
Honus Wagner,643,1897-99 Louisville ( NL ) ; 1900-17 Pittsburgh
David Ortiz,632,1997-2002 Minnesota ; 2003-16 Boston ( AL )
Albert Pujols,661,2001-11 St. Louis ; 2012-2018 Los Angeles ( AL )
Henry Aaron,624,1954-74 Milwaukee-Atlanta ; 75-76 Milwaukee
Adrian Beltre,621,1998-2004 Los Angeles ( NL ) ; 2005-09 Seattle ; 10 Boston ; 11-18 Texas
Paul Molitor,605,1978-92 Milwaukee ( AL ) ; 93-95 Toronto ; 96-98 Minnesota
Paul Waner,605,1926-40 Pittsburgh ; 41-42 Boston ( NL ) ; 43-44 Brooklyn ; 44-45 New York ( AL )
"Cal Ripken , Jr",603,1981-2001 Baltimore
Barry Bonds,601,1986-92 Pittsburgh ; 93-2007 San Francisco
