Assembly Constituency,Winner,Party,Runner-up,Party,Margin
Acharapakkam ( SC ),S. Mathivanan,DMK,A. Bhuvaraghamoorthy,ADMK,"25,371"
Alandur,C. Shanmugam,DMK,K. Purushothaman,ADMK,"75,994"
Alangudi,A. Venkatachalam,IND,S. Erasasekaran,CPI,652
Alangulam,Aladi Aruna,DMK,M. S. Kamaraj,INC,"24,336"
Ambasamudram,R. Avudaiappan,DMK,R. Murugaiah Pandian,ADMK,"19,689"
Anaicut,C. Gopu,DMK,C. M. Suryakala,ADMK,"31,616"
Andhiyur ( SC ),P. Selvarasu,DMK,M. Subramaniam,ADMK,"24,994"
Andimadam,Rajendiran,PMK,Sivasubramaniyan,DMK,"13,402"
Andipatti,P. Aasiyan,DMK,A. Muthiah,ADMK,"13,701"
Anna Nagar,Arcot N. Veerasami,DMK,R. Balasubramanian,INC,"69,017"
Arakkonam ( SC ),R. Thamizh Selvan,DMK,R. Elumalai,PMK,"46,820"
Arantaki,S. Thirunavukkarasu,ADMK,S. Shanmugam,DMK,"14,232"
Aravakkurichi,S. S. Mohammad Ismail,DMK,V. K. Duraisamy,ADMK,"9,094"
Arcot,P. N. Subramani,DMK,K. V. Ramadoss,ADMK,"26,407"
Ariyalur,D. Amaramoorthy,TMC ( M ),A. Elavarasan,ADMK,"24,894"
Arni,R. Sivanandam,DMK,M. Chinnakulandai,ADMK,"18,179"
Aruppukottai,V. Thangapandian,DMK,K. Sundarapandian,ADMK,"16,365"
Athoor,I. Periasamy,DMK,C. Chinnamuthu,ADMK,"50,292"
Attur,A. M. Ramasamy,DMK,A. K. Murugesan,ADMK,"22,296"
Avanashi ( SC ),G. Elango,DMK,M. Thiagarajan,ADMK,"26,457"
