Year Recorded,Album,Personnel,Label
1961,This Is Walt Dickerson !,"Austin Crowe ( piano ) , Bob Lewis ( bass ) , Andrew Cyrille ( drums )",New Jazz
1961,A Sense of Direction,"Austin Crowe ( p ) , Eustis Guillemet , Jr. ( b ) , Edgar Bateman ( d )",New Jazz
1962,Relativity,"Austin Crowe ( p ) , Ahmed Abdul-Malik ( b ) , Andrew Cyrille ( d )",New Jazz
1962,To My Queen,"Andrew Hill ( p ) , George Tucker ( b ) , Andrew Cyrille ( d )",New Jazz
1963,Jazz Impressions of Lawrence of Arabia,"Austin Crowe ( p ) , Henry Grimes / Ahmed Abdul-Malik ( b ) , Andrew Cyrille ( d )",Dauntless
1964,Walt Dickerson Plays Unity,"Walter Davis , Jr. ( p ) , George Tucker ( b ) , Edgar Bateman , Andrew Cyrille ( d )",Audio Fidelity
1966,Impressions of a Patch of Blue,"Sun Ra ( p , h , c ) , Bob Cunningham ( b ) , Roger Blank ( d )",MGM
1975,Tell Us Only the Beautiful Things,"Wilbur Ware ( b ) , Andrew Cyrille ( d )",Whynot
1975,Peace,"Lisle Atkinson ( b ) , Andrew Cyrille ( d )",SteepleChase
1976,Walt Dickerson 1976,"Wilbur Ware ( b ) , Jamaaladeen Tacuma ( eb ) , Edgar Bateman ( d )",Whynot
1976,Serendipity,"Jamaaladeen Tacuma ( eb ) , Edgar Bateman ( d )",SteepleChase
1977,Divine Gemini,Richard Davis ( b ),SteepleChase
1977,Tenderness,Richard Davis ( b ),SteepleChase
1977,Shades of Love,Solo,SteepleChase
1978,To My Queen Revisited,"Albert Dailey ( p ) , Andy McKee ( b ) , Jimmy Johnson ( d )",SteepleChase
1978,Visions,Sun Ra ( p ),SteepleChase
1978,Landscape with Open Door,"Pierre Dørge ( g , per )",SteepleChase
1978,I Hear You John,"Andy McKee ( b ) , Jimmy Johnson ( d )",SteepleChase
1978,To My Son,"Andy McKee ( b ) , Jimmy Johnson ( d )",SteepleChase
1978,Life Rays,"Sirone ( b ) , Andrew Cyrille ( d )",Soul Note
