Family,Country,Launches,Successes,Failures,Partial failures
Atlas,United States,6,4,2,0
Black Arrow,United Kingdom,1,1,0,0
Diamant,France,2,1,1,0
Europa,Europe,1,0,1,0
Kosmos ( R-12/14 ),Soviet Union,34,31,3,0
Long March,People 's Republic of China,1,1,0,0
Mu,Japan,2,2,0,0
N,Soviet Union,1,0,1,0
R-7,Soviet Union,44,40,4,0
R-36,Soviet Union,6,6,0,0
Saturn,United States,2,2,0,0
Titan,United States,8,8,0,0
Thor,United States,14,12,2,0
Scout,United States,5,5,0,0
Universal Rocket,Soviet Union,6,5,1,0
