,Name on the Register,Date listed,Location,City or town
1,Big Sewee Creek Bridge,"July 6 , 1982 ( # 82003995 )",State Route 58 and Center Point Rd . 35°35′37″N 84°42′46″W / 35.593611°N 84.712778°W / 35.593611 ; -84.712778 ( Big Sewee Creek Bridge ),Decatur
2,John M. Black Cabin,"July 6 , 1982 ( # 82004016 )",Big Sewee Creek Rd . 35°38′52″N 84°37′57″W / 35.647778°N 84.6325°W / 35.647778 ; -84.6325 ( John M. Black Cabin ),Ten Mile
3,Blythe Ferry,"January 5 , 1983 ( # 83003055 )",North of Birchwood on State Route 60 at the Tennessee River 35°24′51″N 85°00′41″W / 35.414167°N 85.011389°W / 35.414167 ; -85.011389 ( Blythe Ferry ),Birchwood
4,Buchanan House,"July 6 , 1982 ( # 82003996 )",Vernon St. 35°30′49″N 84°47′29″W / 35.513611°N 84.791250°W / 35.513611 ; -84.791250 ( Buchanan House ),Decatur
5,James Cowan House,"July 6 , 1982 ( # 82003994 )",Old Bunker Hill Rd . 35°22′35″N 84°56′01″W / 35.376389°N 84.933611°W / 35.376389 ; -84.933611 ( James Cowan House ),Big Spring
6,Decatur Methodist Church,"July 6 , 1982 ( # 82003997 )",Vernon St. 35°30′47″N 84°47′30″W / 35.512917°N 84.791667°W / 35.512917 ; -84.791667 ( Decatur Methodist Church ),Decatur
7,S.S. Eaves House,"July 6 , 1982 ( # 82003998 )",Eaves Ferry Rd . 35°32′45″N 84°48′02″W / 35.545833°N 84.800556°W / 35.545833 ; -84.800556 ( S.S. Eaves House ),Decatur
8,Ewing House,"July 6 , 1982 ( # 82004018 )",River Rd . 35°40′03″N 84°43′38″W / 35.6675°N 84.727222°W / 35.6675 ; -84.727222 ( Ewing House ),Ten Mile
9,Feezell Barn,"July 6 , 1982 ( # 82004019 )",State Route 58 35°38′34″N 84°41′19″W / 35.642778°N 84.688611°W / 35.642778 ; -84.688611 ( Feezell Barn ),Ten Mile
10,James R. Gettys House,"July 6 , 1982 ( # 82004020 )",N. No Pone Valley Rd . 35°35′29″N 84°40′41″W / 35.591389°N 84.678056°W / 35.591389 ; -84.678056 ( James R. Gettys House ),Ten Mile
11,James R. Gettys Mill,"July 6 , 1982 ( # 82004021 )",N. No Pone Valley Rd . 35°35′31″N 84°40′42″W / 35.591944°N 84.678333°W / 35.591944 ; -84.678333 ( James R. Gettys Mill ),Ten Mile
12,Jim Godsey House,"July 6 , 1982 ( # 82003999 )",State Route 30 35°31′30″N 84°51′06″W / 35.525°N 84.851667°W / 35.525 ; -84.851667 ( Jim Godsey House ),Decatur
13,James Turk Griffith House,"July 6 , 1982 ( # 82004022 )",State Route 58 35°38′54″N 84°41′18″W / 35.648333°N 84.688333°W / 35.648333 ; -84.688333 ( James Turk Griffith House ),Ten Mile
14,Jacob L. Grubb Store,"July 6 , 1982 ( # 82004000 )",State Route 58 35°23′38″N 84°54′02″W / 35.393889°N 84.900556°W / 35.393889 ; -84.900556 ( Jacob L. Grubb Store ),Decatur
15,Hastings-Locke Ferry,"January 5 , 1983 ( # 83003056 )",West of Decatur on State Route 30 at the Tennessee River 35°32′16″N 84°52′41″W / 35.537778°N 84.878056°W / 35.537778 ; -84.878056 ( Hastings-Locke Ferry ),Decatur
16,Dr. D.W. Holloway House,"July 6 , 1982 ( # 82004023 )",River Rd . 35°42′16″N 84°41′36″W / 35.704444°N 84.693333°W / 35.704444 ; -84.693333 ( Dr. D.W. Holloway House ),Ten Mile
17,Scott Hooper Garage,"July 6 , 1982 ( # 82004010 )",State Route 1 35°21′21″N 84°54′56″W / 35.355833°N 84.915556°W / 35.355833 ; -84.915556 ( Scott Hooper Garage ),Georgetown
18,Hutsell Truss Bridge,"July 6 , 1982 ( # 82004024 )",Old Ten Mile Rd . 35°36′49″N 84°41′16″W / 35.613611°N 84.687778°W / 35.613611 ; -84.687778 ( Hutsell Truss Bridge ),Ten Mile
19,Sam Hutsell House,"July 6 , 1982 ( # 82004025 )",Old Ten Mile Rd . 35°36′46″N 84°41′15″W / 35.612778°N 84.6875°W / 35.612778 ; -84.6875 ( Sam Hutsell House ),Ten Mile
20,R.H. Johnson Stable,"July 6 , 1982 ( # 82004026 )",State Route 58 35°40′49″N 84°40′09″W / 35.680278°N 84.669167°W / 35.680278 ; -84.669167 ( R.H. Johnson Stable ),Ten Mile
