Year,Title,Role
1998,The Object of My Affection,Mermaid
1998,A Bug 's Life,Dot
1999,Message in a Bottle,Girl on Sinking Boat
2000,Dinosaur,Suri
2000,Remember the Titans,Sheryl Yoast
2001,Joe Somebody,Natalie Scheffer
2001,The Affair of the Necklace,Young Jeanne de Saint-Rémy de Valois
2004,The Dust Factory,Melanie Lewis
2004,Raising Helen,Audrey Davis
2005,Racing Stripes,Channing Walsh
2005,Ice Princess,Gennifer Gen Harwood
2006,Bring It On : All or Nothing,Britney Allen
2006,The Architect,Christina Waters
2006,Mr. Gibb,Allyson 'Ally ' Palmer
2007,Shanghai Kiss,Adelaide Bourbon
2007,Diary of a New Girl,Hannah Rochelle
2008,Fireflies in the Garden,Young Jane Lawrence
2008,Scooby-Doo ! and the Goblin King,Fairy Princess Willow
2009,"I Love You , Beth Cooper",Beth Cooper
2009,The Cove,Herself
