Country,Building,Built
Antigua and Barbuda,Parliament Building,
Argentina,National Congress Palace,1906
Bahamas,Bahamian Parliament Building,1815
Barbados,Parliament Buildings,1874
Belize,National Assembly Building,1971
Bolivia,Palace of Congress,1905
Brazil,National Congress Building,1960
Canada,Parliament Buildings,1859
Chile,National Congress Building,1976
Colombia,Capitolio Nacional,1876
Costa Rica,Cuesta de Moras,1958
Cuba,El Capitolio,1929
Dominica,Parliament Building,1811
Dominican Republic,National Palace,1944
Ecuador,Legislative Palace,1960
El Salvador,Legislative Assembly,
Guatemala,Legislative Palace,1934
Guyana,Parliament Building,1834
Mexico,Saint Lazarus Legislative Palace,1981
Mexico,Edificio del Senado,2011
