Year,Dates,Location,Winner,Runner-up
2004,November 1-5,"Adelaide , Australia",Zhou Meng-meng,Jasmin Ouschan
2005,September 20-25,"Velden , Austria",Jasmin Ouschan,Helen Athanasiou
2006,November 13-17,"Sydney , Australia",Mary Rakin,Anna Kostanian
2007,December 3-7,"Willingen , Germany",Mary Rakin,Tina Bühnen
2008,December 1-3,"Reno , United States",Brittany Bryant,Konischi Samia
2009,November 4-7,"Managua , Nicaragua",Keng Chun-lin,Anja Wagner
2010,November 29 - December 1,"Reno , United States",Brittany Bryant,Briana Miller
2011,August 31 - September 4,"Kielce , Poland",Oliwia Czupryńska,Anastasia Nechaeva
2012,December 4-7,"Willingen , Germany",Kamila Khodjaeva,Oliwia Czupryńska
2013,December 9-12,"Johannesburg , South Africa",Natasha Seroshtan,Yuki Hiraguchi
2014,November 15-18,"Shanghai , China",Liu Yu Chen,Kamila Khodjaeva
2015,November 14-17,"Shanghai , China",Chezka Centeno,Xia Yu Ying
2016,November 17-20,"Shanghai , China",Chen Chia-hua,Tsai Pei-chun
2017,Oct. 30 - Nov 2,"Moscow , Russia",Kristina Tkach,Lee Woo-jin
2018,Oct. 31 - Nov 3,"Moscow , Russia",Chen Chia-hua,Seo Seoa
2019,November 21-23,"Nicosia , Cyprus",Lu Yi-hsuan,Tamami Okuda
