Year,Winner,Position,School
2006-07,Olivier Bouchard,Left Wing,Union
2007-08,Landis Stankievech,Center,Princeton
2008-09,Matt Cook,Center,Union
2009-10,Colin Greening,Left Wing,Cornell
2010-11,Stéphane Boileau,Forward,Union
2011-12,Keir Ross,Defenceman,Cornell
2012-13,Matt Zarbo,Center,Clarkson
2013-14,Andy Iles,Goaltender,Cornell
2014-15,Kyle Criscuolo,Center,Harvard
2015-16,Kyle Criscuolo,Center,Harvard
2016-17,Derek Smith,Defenceman,Quinnipiac
2017-18,Bo Pieper,Forward,Quinnipiac
2018-19,Devin Brosseau,Forward,Clarkson
