Year,Title,Role,Notes
2006,Entourage,Kid,Episode : I Wan na Be Sedated
2007,The O.C,Young Taylor Townsend,Episode : The Case of the Franks
2007-2008,Dirty Sexy Money,Margaux Darling,Recurring role ( season 2 )
2008,October Road,Angela Ferilli,Episode : Stand Alone by Me
2008,My Own Worst Enemy,Ruthy Spivey,Main role
2009,Little Monk,Wendy,Main role
2009,In the Motherhood,Annie,Episode : Practice What You Preach
2009,Mental,Emily,Episode : Pilot
2010,Big Love,Tancy Teenie Henrickson,Main role ( season 4 )
2010,Wizards of Waverly Place,Nancy Lukey,Episode : Max 's Secret Girlfriend
2010-2013,Shake It Up,CeCe Jones,Lead role
2011,Good Luck Charlie,CeCe Jones,Episode : Charlie Shakes It Up
2011,Disney 's Friends for Change Games,Herself / Contestant,"5 episodes , part of Green Team"
2012,Frenemies,Avalon Greene,Television film
2014,Phineas and Ferb,Brigitte,Voice role ; episode : Night of the Living Pharmacists
2014,CSI : Crime Scene Investigation,Hannah Hunt,Episode : The Book of Shadows
2014,Red Band Society,Delaney Shaw,Episodes : How Did We Get Here ? and What I Did For Love
2015,K.C . Undercover,Jolie,Episode : Spy-Anoia Will Destroy Ya
2015,Perfect High,Amanda,Television film
2015,Scream,Nina Patterson,Guest role ; 2 episodes
