Player/Coach,Previous Club,Length
Wayne Bennett ( head coach ),St. George Illawarra Dragons,2015
Darius Boyd,St. George Illawarra Dragons,2015
Danny Buderus,Leeds Rhinos,2012
Mick Crawley ( assistant coach & NYC coach ),North Queensland Cowboys,2014
Adam Cuthbertson,St. George Illawarra Dragons,2014
Albert Kelly,Cronulla-Sutherland Sharks,2012
Daine Laurie,Macquarie Scorpions,2012
Lorenzo Ma'afu,Ipswich Jets,Train and trial
Willie Mason,RC Toulonnais,2012
Alex McKinnon,St. George Illawarra Dragons,2014
Robbie Rochow,Melbourne Storm,2012
Simione Sawene,Fiji under-20s Rugby Union team,2012
Kade Snowden,Cronulla-Sutherland Sharks,2015
Timana Tahu,Penrith Panthers,2013
Watisoni Votu,Vuda Blues,Train and trial
Mark Wade,Merewether Carlton Rugby Club,2012
