,Name on the Register,Date listed,Location,City or town
1,Baker Site ( 15MU12 ),"April 1 , 1986 ( # 86000654 )","Left bank of the Green River , 3 miles ( 4.8 km ) above the Paradise Fossil Plant 37°14′18″N 86°56′47″W / 37.238333°N 86.946389°W / 37.238333 ; -86.946389 ( Baker Site ( 15MU12 ) )",Skilesville
2,Greenville City Hall,"August 26 , 1985 ( # 85001906 )",Court Street 37°12′01″N 87°10′38″W / 37.200139°N 87.177222°W / 37.200139 ; -87.177222 ( Greenville City Hall ),Greenville
3,Greenville Commercial Historic District,"August 15 , 1985 ( # 85001903 )",100 blocks of N. Main and E. Main Cross Sts . 37°12′05″N 87°10′44″W / 37.201389°N 87.178889°W / 37.201389 ; -87.178889 ( Greenville Commercial Historic District ),Greenville
4,Martin House,"August 15 , 1985 ( # 85001900 )",144 E. Main Cross St. 37°12′06″N 87°10′29″W / 37.201667°N 87.174722°W / 37.201667 ; -87.174722 ( Martin House ),Greenville
5,Muhlenberg County Courthouse,"December 22 , 1978 ( # 78001390 )",Courthouse Sq . 37°12′02″N 87°10′41″W / 37.200556°N 87.178056°W / 37.200556 ; -87.178056 ( Muhlenberg County Courthouse ),Greenville
6,North Main Street Historic District,"August 15 , 1985 ( # 85001904 )",100 and 200 blocks of N. Main St. 37°12′14″N 87°10′44″W / 37.203889°N 87.178889°W / 37.203889 ; -87.178889 ( North Main Street Historic District ),Greenville
7,Old Muhlenberg County Jail,"August 15 , 1985 ( # 85001901 )",Court Row 37°12′00″N 87°10′40″W / 37.2°N 87.177778°W / 37.2 ; -87.177778 ( Old Muhlenberg County Jail ),Greenville
8,Rice Tobacco Factory,"August 15 , 1985 ( # 85001902 )",112 N. Cherry St. 37°12′08″N 87°10′50″W / 37.202222°N 87.180556°W / 37.202222 ; -87.180556 ( Rice Tobacco Factory ),Greenville
9,George Short House,"September 15 , 1980 ( # 80001661 )",121 N. Main St. 37°12′11″N 87°10′45″W / 37.203056°N 87.179167°W / 37.203056 ; -87.179167 ( George Short House ),Greenville
10,South Cherry Street Historic District,"August 15 , 1985 ( # 85001905 )","Roughly bounded by S. Cherry , Hopkinsville , W. Main Cross , and N. Cherry Sts . 37°11′59″N 87°10′50″W / 37.199722°N 87.180556°W / 37.199722 ; -87.180556 ( South Cherry Street Historic District )",Greenville
11,Robert Thomas House,"December 6 , 1990 ( # 90001833 )",516 Broad St. 37°17′45″N 87°07′05″W / 37.295833°N 87.118056°W / 37.295833 ; -87.118056 ( Robert Thomas House ),Central City
