#,Pos,Player,Transferred to,Date
11,FW,Damián Ísmodes,Universitario de Deportes,24 December 2010
19,MF,Edwin Pérez,León de Huánuco,1 January 2011
13,DF,Jeickson Reyes,Universidad César Vallejo,1 January 2011
12,GK,José Carvallo,FBC Melgar,1 January 2011
3,DF,Miguel Villalta,FBC Melgar,1 January 2011
19,MF,Jaime Vásquez,Unión Comercio,1 January 2011
6,DF,Ricardo Martínez,Sol de América,1 January 2011
8,MF,Bryan Salazar,Alianza Atlético,1 January 2011
5,DF,José Zamora,Colegio Nacional Iquitos,1 January 2011
15,DF,Breyner Bonilla,Cúcuta Deportivo,1 January 2011
8,FW,Anderson Cueto,Juan Aurich,1 January 2011
,FW,Luis Escalada,Free Agent,1 June 2011
23,MF,Daniel Sanchez,Universidad César Vallejo,9 June 2011
24,DF,Carlos Espínola,Free Agent,9 June 2011
15,DF,Jean Pierre Cáncar,Free Agent,1 July 2011
21,FW,Héctor Cruz,León de Huánuco,28 July 2011
22,FW,Andy Pando,León de Huánuco,25 August 2011
