Program,Tenure,Titles,Title years
Kent State,1981-1983 1992-present,12,"1992 , 1993 , 2001 , 2002 , 2004 , 2007 , 2009 , 2010 , 2011 , 2012 , 2014 , 2018"
Eastern Michigan,1981-1983 1992-present,4,"1981 , 1982 , 2003 , 2008"
Bowling Green,1981-1983 1992-present,3,"1998 , 1999 , 2013"
Central Michigan,1981-1983 1992-present,3,"1994 , 1995 , 2019"
Miami,1981-1983 1992-present,3,"1983 , 2000 , 2005"
Ohio,1981-1983 1992-present,3,"1997 , 2015 , 2017"
Akron,1993-2015 2020-present,1,1996
Ball State,1981-1983 1992-present,1,2006
Western Michigan,1981-1983 1992-present,1,2016
Northern Illinois,1981-1982 1998-present,0,
Toledo,1981-1983 1992-present,0,
Marshall,1998-2005,0,
Buffalo,2001-2017,0,
