Player,Period,Role,Batting,Bowling
Johan Botha,2011-2015,Allrounder,Right-handed,Right-arm off break
James Franklin,2011-12,Allrounder,Left-handed,Left-arm medium fast
Alfonso Thomas,2011/12,Pace Bowler,Right-handed,Right-arm fast medium
Kieron Pollard,"2012/13 , 2014/15 , 2016/17",Allrounder,Right-handed,Right-arm medium fast
Saeed Ajmal,2012/13,Spin Bowler,Right-handed,Right-arm off-break
Shakib Al Hasan,2013/14,Allrounder,Left-handed,Left-arm orthodox
Alex Hales,2013-2014,Batsman,Right-handed,Right-arm medium
Ryan ten Doeschate,2014/15,Allrounder,Right-handed,Right-arm medium fast
Mahela Jayawardene,2015/16,Batsman,Right-handed,Right-arm medium
Adil Rashid,2015-2017,Spin Bowler,Right-handed,Right-arm leg spin
Chris Jordan,2016-17,Pace Bowler,Right-handed,Right-arm fast medium
Ish Sodhi,2016-2017,Spin Bowler,Right-handed,Right-arm leg spin
Colin Ingram,2017-2019,Top-order Batsman,Left-handed,Right-arm leg spin
Rashid Khan,2017/18-,Spin Bower,Right-handed,Right-arm leg spin
Phil Salt,2019/20-,Top-order Batsman,Right-handed,Right-arm medium
