Games,Year,Host city,Host country,Best nation
VIII,1966,Kingston,Jamaica,Canada
X,1974,Christchurch,New Zealand,Canada
XI,1978,"Edmonton , Alberta",Canada,Canada
XII,1982,"Brisbane , Queensland",Australia,Australia
XIII,1986,Edinburgh,Scotland,England
XIV,1990,Auckland,New Zealand,Australia
XV,1994,"Victoria , British Columbia",Canada,Australia
XVI,1998,Kuala Lumpur,Malaysia,Australia
XVII,2002,Manchester,England,India
XVIII,2006,"Melbourne , Victoria",Australia,India
XIX,2010,Delhi,India,India
XX,2014,Glasgow,Scotland,Australia
XXI,2018,"Gold Coast , Queensland",Australia,India
