Date,Nation,Name,Asian First
4 October 1957,Soviet Union ( now under Kazakhstan ),Baikonur Cosmodrome,Satellite launch pad
11 February 1970,Japan,Ohsumi,Satellite
24 February 1975,Japan,Taiyo,Solar probe
26 October 1975,China,FSW -0,Satellite recovery
26 October 1975,China,FSW -0 : - 10m ( 1975 ) FSW-1B : - 4m ( 1992 ) Beidou : - 0.5m ( till 2007 ),High resolution imaging satellite
8 July 1976,Indonesia,Palapa A1,Geosynchronous satellite ( launched by NASA )
23 February 1977,Japan,N-I,Geosynchronous launch
21 February 1979,Japan,Hakucho,Space observatory
23 July 1980,Vietnam,Phạm Tuân,Asian in space ( Soyuz 37 )
20 September 1981,China,FB-1,Simultaneous satellite launch
8 January 1985,Japan,Sakigake,Leaving Earth orbit
19 March 1990,Japan,Hagoromo,Reach lunar orbit ( assumed )
7 April 1990,China,CZ-3,Commercial launch ( AsiaSat 1 )
10 April 1993,Japan,Hiten,Intentional lunar impact
8 July 1994,Japan,Chiaki Mukai,Asian woman in space ( STS-65 )
19 November 1997,Japan,Takao Doi,Spacework ( STS-87 )
28 November 1997,Japan,ETS-VII,Rendezvous docking
3 July 1998,Japan,Nozomi,Martian mission ( Failure )
30 October 2000,China,Beidou,Satellite navigation system
10 September 2002,Japan,Kodama,Data relay satellite ( with ESA )
