Station,Line ( branch ),Connections,City/neighborhood,Station info
23 Drydock Avenue,Silver Line ( SL2 ),,Boston / South Boston,Link
27 Drydock Avenue,Silver Line ( SL2 ),,Boston / South Boston,Link
88 Black Falcon Avenue,Silver Line ( SL2 ),,Boston / South Boston,Link
Airport,Blue Line Silver Line ( SL3 ),MBTA Bus ( 171 ) Massport shuttles,Boston / East Boston,Link
Alewife,Red Line,"MBTA Bus ( 62 , 67 , 76 , 79 , 83 , 84 , 350 , 351 )",Cambridge / North Cambridge,Link
Allston Street,Green Line ( B ),,Boston / Allston,Link
Andrew,Red Line,"MBTA Bus ( CT3 , 10 , 16 , 17 , 18 , 171 )",Boston / South Boston,Link
Aquarium,Blue Line,"MBTA Bus ( 4 ) At Long Wharf : MBTA Boat ( F2 , F4 )",Boston / Downtown,Link
Arlington,Green Line,"MBTA Bus ( 9 , 55 , 192 , 193 )",Boston / Back Bay,Link
Ashmont,Red Line ( Ashmont ) Red Line ( Mattapan ),"MBTA Bus ( 18 , 21 , 22 , 23 , 27 , 191 , 215 , 217 , 240 ) BAT : 12",Boston / Dorchester,Link
Assembly,Orange Line,,Somerville / Assembly Square,Link
Babcock Street,Green Line ( B ),"MBTA Bus ( 57 , 57A , 193 )",Boston / Fenway-Kenmore,Link
Back Bay,Orange Line,"Framingham/​Worcester Line Franklin Line Needham Line Providence/​Stoughton Line Acela Express Lake Shore Limited Northeast Regional MBTA Bus ( 10 , 39 , 170 )",Boston / Back Bay,Link
Back of the Hill,Green Line ( E ),"MBTA Bus ( 39 , 192 )",Boston / Mission Hill,Link
Beachmont,Blue Line,MBTA Bus ( 119 ),Revere / Beachmont,Link
Beaconsfield,Green Line ( D ),,Brookline,Link
Bellingham Square,Silver Line ( SL3 ),"Newburyport/​Rockport Line MBTA Bus ( 111 , 112 , 114 , 116 , 117 )",Chelsea / Bellingham Square,Link
Blandford Street,Green Line ( B ),"MBTA Bus ( 57 , 57A , 193 )",Boston / Fenway-Kenmore,Link
Boston College,Green Line ( B ),,Boston / Brighton,Link
Boston University Central,Green Line ( B ),"MBTA Bus ( CT2 , 47 , 57 , 57A , 193 )",Boston / Fenway-Kenmore,Link
