Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Sonny Campbell,RB,Northern Arizona,Ind
Boston Patriots,Hubie Bryant,WR,Minnesota,Big Ten
Buffalo Bills,Tommy Pharr,DB,Mississippi State,SEC
Cleveland Browns,Jim Langer,C,South Dakota State,NCC
Cincinnati Bengals,Doug Dressler,RB,California State Chico,FWC
Dallas Cowboys,Cliff Harris,S,Ouachita Baptist,Arkansas
Dallas Cowboys,Ken Johnson,OT,Indiana,Big Ten
Los Angeles Rams,Otis Sistrunk,DE,,
Miami Dolphins,Doug Swift,LB,Amherst,Little Three
New Orleans Saints,Hugo Hollas,S,Rice,SWC
New York Giants,Joe Green,S,Bowling Green,MAC
New York Giants,Bob Tucker,TE,Bloomsburg,PSAC
Philadelphia Eagles,Rick Arrington,QB,Tulsa,MVC
Pittsburgh Steelers,Dave Kalina,WR,Miami,Ind
Washington Redskins,Terry Hermeling,OT,Nevada-Reno,Ind . ( Coll . )
Washington Redskins,Rusty Tillman,LB,Northern Arizona,Ind
