Rank,Airport,Serves,Total ( tonnes ),Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"345,532.8",-0.1%
2,Vancouver International Airport,Metro Vancouver,"194,317.2",0.5%
3,John C. Munro Hamilton International Airport,Hamilton,"86,541.7",6.4%
4,Calgary International Airport,Calgary,"81,391.8",-2.8%
5,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"77,005.0",-1.5%
6,Montréal-Mirabel International Airport,Greater Montreal,"64,250.5",0.6%
7,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"60,254.7",-9.3%
8,Halifax Stanfield International Airport,Halifax,"27,514.5",3.0%
9,Edmonton International Airport,Edmonton Capital Region,"27,172.8",9.8%
10,Greater Moncton International Airport,Moncton,"19,758.8",-13.8%
11,Ottawa Macdonald-Cartier International Airport,Ottawa,"14,764.0",39.1%
12,St. John 's International Airport,St. John 's,"7,232.6",-8.8%
13,Victoria International Airport,Victoria,"4,610.9",-6.1%
14,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"4,450.5",-19.9%
15,Québec City Jean Lesage International Airport,Quebec City,"2,934.3",44.2%
16,Kelowna International Airport,Kelowna,"2,327.4",-21.7%
17,Thunder Bay International Airport,Thunder Bay,"1,487.1",-15.4%
18,Prince George Airport,Prince George,"1,059.1",-30.0%
19,Windsor International Airport,Windsor,650.9,13.2%
20,Fort McMurray International Airport,Fort McMurray,587.3,-2.1%
