,Creator,Latest release date,Current stable version,Programming language,License
bbPress,WordPress Foundation,2019-09-04,5.2.3,PHP,GPL
Beehive Forum,Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
Discourse,"Civilized Discourse Construction Kit , Inc",2019-11-06,2.3.6,"Ruby , JavaScript",GPL
Discuz !,Comsenz Inc,2018-01-01,X3.4,PHP,"Discuz ! EULA ( proprietary , gratis for non-commercial use )"
FluxBB,FluxBB.org Developers,2018-12-31,1.5.11,PHP,GPL
FUDforum,Advanced Internet Designs Inc,2018-04-09,3.0.9,PHP,GPL
Ikonboard,Matt Mecham ( original creator ) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
Invision Power Board,Invision Power Services Inc,2019-06-12,4.4.4,PHP,Proprietary
MyBB,MyBB Group,2019-12-30,1.8.22,PHP,"LGPL , moving to BSD in 2.0"
Phorum,Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 ( BSD like )
phpBB,phpBB Ltd,2020-01-06,3.3.0,PHP,GPL
PunBB,PunBB,2015-10-14,1.4.4,PHP,GPL
Simple Machines Forum,Simple Machines,2019-12-30,2.0.17,PHP,BSD License
Syndie,Anonymous ( related to I2P ),2014-08-14,1.107b,Java,"Open source , multiple licenses"
Thredded,"Joel Oliveira , Gleb Mazovetskiy , et al",2019-08-17,0.16.13,Ruby,MIT
Vanilla Forums,Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary / GPL
vBulletin,vBulletin Solutions Inc,2019-05-14,5.5.2,PHP,Proprietary
XenForo,"XenForo Limited , Kier Darby , Mike Sullivan",2019-11-06,2.1.5,PHP,Proprietary
,Creator,Latest release date,Current stable version,Programming language,License
