Pick #,MLS team,Player,Position,Affiliation
61,MetroStars,Jake Dancy,D,Kansas City Wizards
62,Kansas City Wizards,Casey Sweeney,D,Indiana Blast ( A-League )
63,New England Revolution,Tom Hardy,D,Vancouver 86ers ( A-League )
64,Tampa Bay Mutiny,Ubusuku Abukusumo,D,Columbus Crew
65,Tampa Bay Mutiny,Ernest Inneh,F,Staten Island Vipers ( A-League )
66,Tampa Bay Mutiny,Mike Gentile,M,Minnesota Thunder ( A-League )
67,Colorado Rapids,Rich Cullen,GK,Air Force Academy
68,Chicago Fire,Kevin Jackson,M,Lehigh University
69,Columbus Crew,PASS,,
70,Dallas Burn,Angel Rivillo,M,Creighton University
71,Los Angeles Galaxy,Ali John Utush,F,San Francisco Bay Seals ( A-League )
72,D.C. United,PASS,,
