Location Served,District,Aerodrome Name
Belize Aquaculture Ltd,SC,Belize Aquaculture Ltd
Black Bird Caye,BZ,Black Bird Caye
Blue Creek,OW,Rempel Hangar
Blue Creek,OW,San Felipe Airstrip
Cisco Hill,CY,Cisco Farm Airstrip
Mountain Pine Ridge,CY,Hidden Valley Airstrip
Kanantanik,SC,Kanantanik Airstrip
Lamanai,OW,Lamanai
Northern Caye,BZ,Northern Two Cayes Airstrip
Indian Creek,TO,Rio Dorado Airstrip
Royal Mayan Shrimp Farm,SC,Royal Mayan Shrimp Farm
Spanish Lookout,CY,Spanish Lookout Airport
White Ridge Farm,,White Ridge Farm
Old Belize Heliport,,Old Belize Heliport
Cisco Heliport,,Cisco Heliport
