Year,Producer,Nominees
1975,Thom Bell,Rick Hall Lenny Waronker Stevie Wonder Billy Sherrill
1976,Arif Mardin,"Dennis Lambert , Brian Potter Bill Szymczyk Peter Asher Gus Dudgeon"
1977,Stevie Wonder,Richard Perry Lenny Waronker Joe Wissert
1978,Peter Asher,"Richard Perry Bill Szymczyk Bee Gees , Albhy Galuten , Karl Richardson Kenneth Gamble & Leon Huff"
1979,"Bee Gees , Albhy Galuten and Karl Richardson",Peter Asher Phil Ramone Quincy Jones Alan Parsons
1980,Larry Butler,Mike Chapman Quincy Jones Ted Templeman Maurice White
1981,Phil Ramone,Quincy Jones Michael Omartian Queen and Mack Stevie Wonder
1982,Quincy Jones,"Val Garay Arif Mardin Lionel Richie Robert John Mutt Lange , Mick Jones"
1983,Toto,"Gary Katz John Cougar Mellencamp , Don Gehman David Foster Quincy Jones"
1984,Michael Jackson and Quincy Jones,James Anthony Carmichael and Lionel Richie Jay Graydon Quincy Jones Phil Ramone
1985,"James Anthony Carmichael and Lionel Richie , tied with David Foster","Prince & the Revolution Robert John Mutt Lange , The Cars Michael Omartian"
1986,Phil Collins and Hugh Padgham,"David Foster Don Henley , Danny Kortchmar and Greg Ladanyi Mark Knopfler and Neil Dorfsman Narada Michael Walden"
1987,Jimmy Jam and Terry Lewis,David Foster Michael Omartian Paul Simon Winwood and Russ Titelman
1988,Narada Michael Walden,Emilio and The Jerks Quincy Jones and Michael Jackson Daniel Lanois and Brian Eno John Mellencamp and Don Gehman
1989,Neil Dorfsman,Thomas Dolby David Kershenbaum L.A. Reid and Babyface Narada Michael Walden
1990,Peter Asher,"Emilio Estefan , Jorge Casas and Clay Ostwald Jimmy Jam and Terry Lewis and Janet Jackson L.A. Reid and Babyface Prince Tears for Fears and David Bascombe"
1991,Quincy Jones,Glen Ballard Phil Collins and Hugh Padgham Mick Jones and Billy Joel Arif Mardin
1992,David Foster,Walter Afanasieff and Mariah Carey Andre Fischer Paul Simon Keith Thomas
1993,"Brian Eno and Daniel Lanois , tied with L.A. Reid and Babyface",Mitchell Froom Teddy Riley Bruce Swedien Chris Thomas
1994,David Foster,Walter Afanasieff Tony Brown Bruce Fairbairn Jimmy Jam and Terry Lewis Hugh Padgham
