#,Event year,Season,Flag bearer,Sport
47,2018,Winter,Kim Boutin,Short track speed skating
46,2016,Summer,Penny Oleksiak,Swimming
45,2014,Winter,Kaillie Humphries Heather Moyse,Bobsleigh
44,2012,Summer,Christine Sinclair,Football ( soccer )
43,2010,Winter,Joannie Rochette,Figure skating
42,2008,Summer,Karen Cockburn,Trampolining
41,2006,Winter,Cindy Klassen,Speed skating
40,2004,Summer,Adam van Koeverden,Kayak racing
39,2002,Winter,Jamie Salé David Pelletier,Figure skating
38,2000,Summer,Simon Whitfield,Triathlon
37,1998,Winter,Catriona Le May Doan,Speed skating
36,1996,Summer,Marnie McBean Kathleen Heddle,Rowing
35,1994,Winter,Myriam Bedard,Biathlon
24,1992,Summer,Silken Laumann,Rowing
34,1992,Winter,Nathalie Lambert,Short track speed skating
33,1988,Summer,Lennox Lewis,Boxing
32,1988,Winter,Karen Percy,Alpine skiing
31,1984,Summer,Linda Thom,Shooting
30,1984,Winter,Robert Wilson ( bobsledder ),Bobsleigh
,1980,Summer,none,Canada boycotted this Olympics
