Season,Player,School,Class
2001,Shane Komine,Nebraska,Junior
2002,Justin Simmons,Texas,Sophomore
2003,Aaron Marsden,Nebraska,Junior
2004,J.P. Howell,Texas,Junior
2005,Max Scherzer,Missouri,Sophomore
2006,Kyle McCulloch,Texas,Junior
2007,Adrian Alaniz,Texas,Junior
2008,Aaron Crow,Missouri,Junior
2009,A.J . Morris,Kansas State,Junior
2010,Cole Green,Texas,Junior
2011,Taylor Jungmann *,Texas,Junior
2012,Andrew Heaney,Oklahoma State,Junior
2013,Harrison Musgrave,West Virginia,Sophomore
2014,Preston Morrison,TCU,Junior
2015,Michael Freeman,Oklahoma State,Senior
2016,Thomas Hatch,Oklahoma State,Sophomore
2017,Steven Gingery,Texas Tech,Sophomore
2018,Cody Bradford,Baylor,Sophomore
2019,Alek Manoah,West Virignia,Junior
