Dance,Best dancer,Best score,Worst dancer,Worst score
Boogie Woogie,Andrés Gil,38,Christian Vieri,21
Cha Cha Cha,Andrés Gil,37,Ariadna Romero,22
Charleston,Marco Delvecchio,39,Claudia Andreatti,15
Jive,Lucrezia Lante della Rovere,36,Alex Belli,15
Merengue,Lucrezia Lante della Rovere,29,Andrés Gil,18
Paso Doble,Anna Tatangelo,40,Alex Belli,11
Quickstep,Marco Delvecchio,34,Gianni Rivera,23
Rumba,Andrés Gil,39,Alex Belli,17
Salsa,Anna Tatangelo Lucrezia Lante della Rovere,30,Ria Antoniou,12
Samba,Anna Tatangelo,40,Stefano Campagna,12
Tango,Anna Tatangelo,36,Alex Belli,18
Waltz,Claudia Andreatti,32,Andrés Gil,18
