Constituency,Winner,Party,Margin,Runner-up,Party
Madras North,N. V. N. Somu,DMK,"36,450",G. Lakshmanan,INC
Madras Central,A. Kalanidhi,DMK,"96,744",E. Paul Ernest,GKC
Madras South,Vyjayanthimala,INC,"48,017",Era . Sezhiyan,JNP
Sriperumbudur,Maragatham Chandrasekar,INC,"109,474",T. Nagaratnam,DMK
Chengalpattu,S. Jagathrakshagan,ADMK,"58,209",M. V. Ramu,DMK
Arakkonam,R. Jeevarathinam,INC,"60,942",Pulavar K. Govindan,DMK
Vellore,A. C. Shanmugam,ADMK,"74,723",A. M. Ramalingam,DMK
Tiruppattur,A. Jayamohan,INC,"121,787",M.Abdul Lathief,DMK
Vandavasi,L. Balaraman,INC,"134,892",R. K. Pandian,DMK
Tindivanam,S. S. Ramasamy Padayachi,INC,"201,858",M. R. Lakshmi Narayanan,JNP
Cuddalore,P. R. S. Venkatesan,INC,"131,954",T. Ramu,DMK
Chidambaram,P. Vallalperuman,INC,"120,891",S. Kannapiran,DMK
Dharmapuri,M. Thambi Durai,ADMK,"151,252",Parvathi Krishnan,CPI
Krishnagiri,K. Ramamurthy,INC,"166,366",T. Chandrasekaran,DMK
Rasipuram,B. Devarajan,INC,"201,406",P. Duraisami,DMK
Salem,Rangarajan Kumaramangalam,INC,"236,175",M. A. Kandasamy,JNP
Tiruchengode,P. Kannan,ADMK,"158,066",M. Kandaswamy,DMK
Nilgiris,R. Prabhu,INC,"131,939",C. T. Dhandapani,DMK
Gobichettipalayam,P. Kolandaivelu,ADMK,"160,627",P. A. Saminathan,DMK
Coimbatore,C. K. Kuppuswamy,INC,"102,519",R. Umanath,CPM
