Show,Station,Premiere Date,Type,Original run
Another,Tokyo MX,January 10,Anime,2012
Aoi Sekai no Chūshin de,Tokyo MX,October 20,Anime,2012-2013
Black Rock Shooter,Fuji TV,February,Anime,2012
Gokujo . Gokurakuin Joshi Kōryō Monogatari,Chukyo TV,January 23,Anime,2012
Honjitsu wa Taian Nari,NHK,January 10,Drama,2012
Inu x Boku SS,MBS,January 12,Anime,2012
JoJo 's Bizarre Adventure : The Animation,Tokyo MX,October 5,Anime,2012-2013
Kamen Rider Wizard,TV Asahi,September 2,Tokusatsu,2012-2013
Mōretsu Pirates,Tokyo MX,January 8,Anime,2012
Poyopoyo Kansatsu Nikki,TV Tokyo,January 8,Anime,2012
Rinne no Lagrange,ytv,January 8,Anime,2012
Saki Achiga-hen Episode of Side-A,TV Tokyo,April 9,Anime,2012
Senhime Zesshō Symphogear,Tokyo MX,January 6,Anime,2012
Shokuzai,WOWOW,January,Drama,2012
Sword Art Online,Tokyo MX,July 7,Anime,2012
Taira no Kiyomori,NHK,January,Drama,2012
Tokumei Sentai Go-Busters,TV Asahi,February 26,Tokusatsu,2012-2013
Zetman,ytv,April 2,Anime,2012
Kuroko no Basuke,BS11,April 7,Anime,2012
Sprout,NTV,July 7,Drama,2012
