Camp name,Council,Location,Status,Notes
Camp Cedar Valley,Eastern Arkansas Council,Hardy,Sold,"This camp served the Eastern Arkansas Council from 1942 to 1966 , when it was sold to a developer . It was located 5.5 miles southwest of Hardy , AR on the Spring River . Originally 95 acres , an additional land purchase brought this up to 255 acres"
Camp De Soto,De Soto Area Council,El Dorado,Active,"Located outside Junction City , AR"
Camp Orr,Westark Area Council,Harrison,Active,Camp Orr has been in use since 1955 and covers nearly 600 acres of the Buffalo National River Wilderness Area . It is the only Boy Scout camp situated within a National Park
Pine Trail Reservation/Camp Cedar Valley,Eastern Arkansas Council,Viola,Sold,"In 2002 , after the merger of the Eastern Arkansas Area Council into the Quapaw Area Council , Camp Cedar Valley was promptly sold to a private owner . It is still an active camp , on 777 acres just south of Viola , Arkansas on U.S. 412 , in the foothills of the Ozark Mountains"
Camp Pioneer,Caddo Area Council,Hatfield,Active,
Camp Preston Hunt,Caddo Area Council,Texarkana,Active,
Camp Quapaw,Quapaw Area Council,Benton,Closed,"Camp Quapaw opened in 1925 and was located on the Saline River west of Benton in Saline County . In 1976 when Camp Kiwanis was purchased , Camp Quapaw was then closed and the land was later sold"
Camp Spencer,Westark Area Council,Mountain Home,Active,"A 100-acre primitive camping facility , located on the shore of Lake Norfork , east of Mountain Home , AR"
Gus Blass Scout Reservation,Quapaw Area Council,Damascus,Active,"Purchased in 1976 , the reservation includes Camp Rockefeller and the Donald W. Reynolds Scout Training Center , located west of Damascus , Arkansas . The reservation was named the Cove Creek Scout Reservation and Camp Nile Montgomery until 2001"
Kia Kima Scout Reservation,Chickasaw Council,Hardy,Active,
Rhodes Scout Reservation,Ouachita Area Council,Bismarck,Sold,"In 2012 , after the merger of Ouachita Area Council and the Quapaw Area Council , the Rhodes Scout Reservation , a 16,000+ acre camp on Lake DeGray in Bismarck , AR , was sold to the Ouachita Camp Foundation , in partnership with the U.S. Army Corps of Engineers and the Ross Foundation . It is still available for use by the troops of the Quapaw Area Council as a private campsite"
Rogers Scout Reservation,Westark Area Council,Booneville,Active,"In 1973 the Arkansas State Legislature permitted the Westark Area Council to purchase 2,842 acres of the Booneville Sanatorium , just south of Booneville , Arkansas , which is now known as the Rogers Scout Reservation"
