Name,Substantive Rank,Notes
"Van Alen , James Henry","Brigadier general , USV ( April 15 , 1862 )","Resigned July 14 , 1863"
"Van Cleve , Horatio Phillips","Brigadier general , USV ( March 21 , 1862 )","USMA , 1831"
"Van Derveer , Ferdinand","Brigadier general , USV ( October 4 , 1864 )","Resigned June 7 , 1865"
"Van Vliet , Stewart","Major , USA ( August , 1861 ) Brigadier general , USV ( March 13 , 1865 )","USMA , 1840 Earlier appointment as brigadier general , USV ( September 23 , 1861 ) expired July 17 , 1862"
"Van Wyck , Charles H","Brigadier general , USV ( September 27 , 1865 )","U.S . Congressman from New York ( 1859-1863 , 1867-1871 ) U.S . Senator from Nebraska ( 1881-1887 )"
"Vandever , William","Brigadier General ( November 29 , 1862 )",U.S . Congressman from Iowa ( 1859-1861 ) U.S . Congressman from California ( 1887-1891 )
"Veatch , James C","Brigadier general , USV ( April 28 , 1862 )",
"Viele , Egbert Ludovicus","Brigadier general , USV ( August 17 , 1861 )","USMA , 1847 Resigned October 23. , 1863 U.S . Congressman from New York ( 1885-1887 )"
"Vincent , Strong","Brigadier general , USV ( July 3 , 1863 )","DOW , Battle of Gettysburg ( July 2 , 1863 , d. July 7 , 1863 )"
"Vinton , Francis Laurens","Captain , USA ( October , 1861 ) Brigadier general , USV ( March 13 , 1863 )","USMA , 1856 Earlier appointment as brigadier general , USV ( September 19 , 1862 ) expired March 4 , 1863 Resigned May 5 , 1863"
"Vogdes , Israel","Colonel , USA ( 1863 ) Brigadier general , USV ( November 29 , 1862 )","USMA , 1837"
"Von Steinwehr , Adolph Wilhelm August Friedrich , Baron","Brigadier general , USV ( October 12 , 1861 )","Resigned July 3 , 1865"
