Pos,No,Team,Driver,Car,TT10,Qual
Pole,015,Holden Racing Team,Craig Lowndes,Holden VR Commodore,2:11.5540,2:12.32
2,1,Winfield Racing,Mark Skaife,Holden VR Commodore,2:11.9504,2:12.10
3,11,Castrol Perkins Racing,Larry Perkins,Holden VR Commodore,2:12.4759,2:11.58
4,7,Coca-Cola Racing,Wayne Gardner,Holden VR Commodore,2:12.5422,2:12.36
5,30,Peter Jackson Racing,Glenn Seton,Ford EF Falcon,2:12.5438,2:11.60
6,35,Peter Jackson Racing,Alan Jones,Ford EF Falcon,2:12.7075,2:12.79
7,18,Shell FAI Racing,Steven Johnson,Ford EF Falcon,2:13.1149,2:12.46
8,17,Shell FAI Racing,Dick Johnson,Ford EF Falcon,2:13.1854,2:11.90
9,25,Castrol Longhurst Ford,Tony Longhurst,Ford EF Falcon,2:13.8883,2:13.11
10,05,Holden Racing Team,Peter Brock,Holden VR Commodore,DNF,2:12.03
