#,District,Headquarters,Area ( km² ),Population ( 1998 ),Division
1,Ghanche,Khaplu,"6,400","88,366",Baltistan
2,Skardu,Skardu,"15,000","214,848",Baltistan
3,Astore,Gorikot,"8,657","71,666",Diamer
4,Diamer,Chilas,"10,936","131,925",Diamer
5,Ghizer,Gakuch,"9,635","120,218",Gilgit
6,Gilgit,Gilgit,"38,000","243,324",Gilgit
7,Hunza,Ali Abad,"17,145","80,355",Gilgit
8,Kharmang,Madupur,,"20,000",Baltistan
9,Shigar,Shigar,"8,500","109,000",Baltistan
10,Nagar,Nagar,"15,567","89,420",Gilgit
11,Gupis-Yasin,Ishkoman,,,Gilgit
12,Tangir,Darel,,,Diamer
13,Darel,Tangir,,,Diamer
14,Roundu,Dambudas,,,Baltistan
