Country,Winners,Runners-up,Winning clubs,Runners-up
Italy,13,10,"Pro Recco ( 8 ) , Posillipo ( 3 ) , Canottieri Napoli ( 1 ) , Pescara ( 1 )","Pro Recco ( 7 ) , Canottieri Napoli ( 1 ) , Savona ( 1 ) , Pescara ( 1 )"
Yugoslavia,13,4,"Partizan ( 6 ) , HAVK Mladost ( 6 ) , Jug Dubrovnik ( 1 )","Partizan ( 3 ) , HAVK Mladost ( 1 )"
Hungary,8,9,"Orvosegyetem ( 2 ) , Vasas ( 2 ) , Újpest ( 1 ) , Honvéd ( 1 ) , Szolnok ( 1 ) , FTC ( 1 )","Honvéd ( 3 ) , Orvosegyetem ( 2 ) , Újpest ( 2 ) , Vasas ( 1 ) , Budapesti VSC ( 1 )"
Croatia,7,9,"Jadran Split ( 2 ) , Jug Dubrovnik ( 3 ) , HAVK Mladost ( 1 ) , POŠK Split ( 1 )","Jug Dubrovnik ( 4 ) , HAVK Mladost ( 3 ) , Primorje Rijeka ( 2 )"
Germany,4,4,Spandau 04 ( 4 ),Spandau 04 ( 4 )
Serbia,3,3,"Bečej ( 1 ) , Partizan ( 1 ) , Crvena zvezda ( 1 )","Bečej ( 1 ) , Jadran Herceg Novi * ( 1 ) , Radnički Kragujevac ( 1 )"
Spain,3,3,"Barcelona ( 1 ) , Catalunya ( 1 ) , Atlètic-Barceloneta ( 1 )","Catalunya ( 2 ) , Montjuïc ( 1 )"
Soviet Union,2,6,"MGU Moscow ( 1 ) , CSKA Moscow ( 1 )","Dynamo Moscow ( 3 ) , CSKA Moscow ( 2 ) , Dynamo Alma-Ata ( 1 )"
Greece,2,3,Olympiacos ( 2 ),Olympiacos ( 3 )
Montenegro,1,1,Primorac Kotor ( 1 ),Primorac Kotor ( 1 )
Netherlands,0,2,-,"Zian ( 1 ) , Alphen ( 1 )"
East Germany,0,1,-,Magdeburg ( 1 )
Romania,0,1,-,Dinamo Bucureşti ( 1 )
