#,Name,Date it took office,Date it left office,Political party,Appointed by
1,Martin G. Brumbaugh,1900,1902,Republican,William McKinley
2,Samuel McCune Lindsay,1902,1904,Republican,Theodore Roosevelt
3,Ronald R. Falkner,1904,1907,Republican,Theodore Roosevelt
4,Edwin G. Dexter,1907,1912,Republican,William Howard Taft
5,Edward M. Bainter,1912,1915,Democrat,Woodrow Wilson
6,Paul G. Miller,1915,1921,Democrat,Woodrow Wilson
7,Juan B. Huyke,1921,1929,Republican,Warren G. Harding
8,José Padín,1930,1936,Republican,Herbert Hoover
9,H. A. Martin,1937,1937,Democrat,Franklin D. Roosevelt
10,José M. Gallardo,1937,1945,Democrat,Franklin D. Roosevelt
11,Mariano Villaronga Toro,1946,1947,Democrat,Harry S. Truman
12,Francisco Collazo,1947,1948,Democrat,Harry S. Truman
