Year,English title,Korean title,Romanization,Role,Director
2017,The Chase,반드시 잡는다,Ban-deu-si Jab-neun-da,President Min,Kim Hong-sun
2011,The Last Blossom,세상에서 가장 아름다운 이별,Sesangyeseo Gajang Ahreumdawoon Ilbyeon,Kim In-hee,Min Kyu-dong
2009,Five Senses of Eros : The 33rd Man,오감도 : 33번째 남자,Ogamdo : 33beon Namja,Park Hwa-ran,Yoo Young-shik
2006,Herb,허브,Heo-beu,Mom,Heo In-moo
2006,Ad-lib Night,아주 특별한 손님,Aju teukbyeolhan sonnim,Bo-kyung 's mom ( voice cameo ),Lee Yoon-ki
2005,Love Talk,러브토크,Reobeu tokeu,Sunny,Lee Yoon-ki
2005,"Hello , Brother","안녕 , 형아",Annyeong hyeonga,Mom,Im Tae-hyung
2002,Jealousy Is My Middle Name,질투는 나의 힘,Jiltu-neun Na-ui Him,Park Sung-yeon,Park Chan-ok
2001,"My Beautiful Girl , Mari",마리 이야기,Mari iyagi,Nam-woo 's Mother,Lee Sung-gang
2001,Story of Jesus,,Yesu,Angel Gabriel ( Korean dubbing ),
1997,Deep Blue,깊은 슬픔,Gip-eun seulpeum,,Kwak Ji-kyoon
1992,Walking All the Way to Heaven,걸어서 하늘까지,Geol-eoseo ha-neulkkaji,Ji-suk,Kwak Ji-kyoon
1991,Portrait of the Days of Youth,젊은이의 초상,Jeolm-eun nal-ui chosang,,Kwak Ji-kyoon
1990,I Stand Up Every Day,나는 날마다 일어선다,Naneun nalmada il-eoseonda,,Kang Woo-suk
1988,Chil-su and Man-su,칠수와 만수,Chil-su wa Man-su,Ji-na,Park Kwang-soo
