Title,Developer,Publisher,Europe Release date
EyeToy : Play,SCE London Studio,Sony Computer Entertainment,"July 4 , 2003"
EyeToy : Groove,SCE London Studio,Sony Computer Entertainment,"November 14 , 2003"
EyeToy : Antigrav,Harmonix,Sony Computer Entertainment,March 2005
Sega SuperStars,Sonic Team,Sega,"October 22 , 2004"
U Move Super Sports,Konami,Konami,"October 22 , 2004"
EyeToy : Chat,SCE London Studio,Sony Computer Entertainment,"February 11 , 2005"
EyeToy : Play 2,SCE London Studio,Sony Computer Entertainment,"November 5 , 2004"
Disney Move,Ubisoft,"Disney Interactive Studios , Ubisoft","November 19 , 2004"
Nicktoons : Movin ',Mass Media,THQ,
EyeToy : Monkey Mania,SCEI,Sony Computer Entertainment,"March 18 , 2005"
EyeToy : Kinetic,SCE London Studio,Sony Computer Entertainment,"September 23 , 2005"
EyeToy : EduKids,SCEK,Sony Computer Entertainment,
EyeToy : Play 3,SCE London Studio,SCEE,"November 4 , 2005"
EyeToy : Operation Spy,SCE London Studio,SCEE,"October 14 , 2005"
Clumsy Shumsy,Phoenix Games,Phoenix Games,"October 27 , 2006"
Rhythmic Star,Ignition Entertainment,Namco,"March 10 , 2006"
Eyetoy : Play Sports,SCEE,Sony Computer Entertainment,"December 31 , 2006"
EyeToy : Kinetic Combat,SCE London Studio,SCEE,"November 17 , 2006"
EyeToy : Play Astro Zoo,SCE Studios London,SCEE,"November 2 , 2007"
Bob The Builder,Atomic Planet Entertainment,Blast ! Entertainment,"August 23 , 2007 ( Australia Only )"
