Name,Position,School,Number,Official,Other
Mike Ditka,End,Pittsburgh,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , Time , WC"
Dan LaRose,End,Missouri,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , Time , WC"
Bob Lilly,Tackle,TCU,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , Time , WC"
Tom Brown,Guard,Minnesota,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , Time , WC"
Joe Bellino,Halfback,Navy,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , Time , WC"
Bob Ferguson,Fullback,Ohio State,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , Time , WC"
Jake Gibbs,Quarterback,Ole Miss,6/6,"AFCA , AP , FWAA , NEA , SN , UPI","CP , WC"
Ken Rice,Tackle,Auburn,5/6,"AFCA , AP , FWAA , SN , UPI","CP , Time , WC"
E. J. Holub,Center,Texas Tech,5/6,"AFCA , FWAA , NEA , SN , UPI","CP , Time , WC"
Joe Romig,Guard,Colorado,3/6,"AFCA , FWAA , UPI",WC
Ernie Davis,Halfback,Syracuse,2/6,"AFCA , UPI",WC
