Position,Player,From club,Fee
AML,Muhd Izuan Salahuddin,Kelantan,align=right| 0
DC,William Mensah,Wadi Degla FC,align=right| 0
DC,Mohd Nashriq Yahya,Harimau Muda B,align=right| 0
DC,Mohd Fairuz Abdul Aziz,Selangor FA,align=right| 0
DC,Mohd Farid Ramli,Johor Darul Takzim F.C,align=right| 0
DR,Mohd Rafiq Shah Zaim,Selangor FA,align=right| 0
MC,Dilshod Sharofetdinov,Pakhtakor FK ( Tashkent ),align=right| 0
AMC,Mahmoud Amnah,Sulaymaniyah FC,align=right| 0
DMC,Nur Areff Kamaruddin,Harimau Muda B,align=right| 0
AMR,Mohd Rafizi Hamdan,Negeri Sembilan FA,align=right| 0
ST,Wisdom Agblexo,Al-Ansar SC,align=right| 0
ST,Failee Ghazli,Perak FA,align=right| 0
ST,Farderin Kadir,Terengganu FA,align=right| 0
ST,Muhd Asnan Awal Hisham,Selangor FA,align=right| 0
ST,Nazrul Kamaruzaman,Selangor FA,align=right| 0
ST,Mateo Roskam,NK Slaven Belupo,align=right| 0
