Year,Title,Role,Notes
2002,ER,Jody Holmes,"Episodes : One Can Only Hope , Tell Me Where It Hurts"
2003,Miss Match,Victoria Carlson,Main role ; 18 episodes
2004,The Practice,Sally Heep,4 episodes
2004-2006,Boston Legal,Sally Heep,Main role ( season 1 ) ; guest star ( season 3 ) ; 14 episodes
2005-2006,Surface,Laura Daughtery,Main role ; 15 episodes
2008-2016,Childrens Hospital,Dr. Cat Black,Main role ; 57 episodes
2009,Wainy Days,Blaire,Episode : Dance Club
2010,The League,Brooke,Episode : The White Knuckler
2010-2011,How to Make It in America,Rachel Chapman,Main role ; 16 episodes
2011,New Girl,Amanda,Episode : Naked
2012,Top Gear,Herself,Episode : Rut 's Show
2012,Tron : Uprising,Lux ( voice ),Episode : Identity
2012,Robot Chicken,Black Widow / Ariel ( voice ),Episode : Collateral Damage in Gang Turf War
2013,Newsreaders,Dixie Peters,Episode : Hair Razing
2015,Axe Cop,Axe Girl ( voice ),Episode : Ultimate Mate
2015-2018,BoJack Horseman,Katrina Peanutbutter ( voice ),9 episodes
2015,Wet Hot American Summer : First Day of Camp,Donna,Main role ; 7 episodes
2016,Cassius & Clay,Shopcarter Clay ( voice ),Unsold television pilot
2017,Wet Hot American Summer : Ten Years Later,Donna,Recurring role ; 5 episodes
2017,SuperMansion,Millicent ( voice ),Episode : SuperMansion : Drag Me to Halloween
