Site,Municipality,Type,Ref
Atamadai Shell Mound 阿玉台貝塚 Atamadai kaizuka,Katori,1,652
Inō Tadataka Former Residence 伊能忠敬旧宅 Inō Tadataka kyū-taku,Katori,8,640
Inonagawari Site 井野長割遺跡 Inonagawari iseki,Sakura,1,3416
Ubayama Shell Mound 姥山貝塚 Ubayama kaizuka,Ichikawa,1,649
Shimōsa Kokubun-ji Site 下総国分寺 跡 附 北下瓦窯跡 Shimofusa Kokubunji ato tsuketari kitashita kawara kama ato,Ichikawa,3,650
Shimōsa Kokubunni-ji Site 下総国分尼寺跡 Shimofusa Kokubunniji,Ichikawa,3,651
Shimōsa Cavalry Horse Site 下総小金中野牧跡 Shimōsa kogane nakanomaki ato,Kamagaya,6,00003513
Kasori Shell Mound 加曽利貝塚 Kasori kaizuka,Chiba,1,654
Hanawa Shell Mound 花輪貝塚 Hanawa kaizuka,Chiba,1,00003500
Tsukinoki Shell Mound 月ノ木貝塚 Tsukinoki kaizuka,Chiba,1,656
Arayashiki Shell Mound 荒屋敷貝塚 Arayashiki kaizuka,Chiba,1,657
Yamazaki Shell Mound 山崎貝塚 Yamazaki kaizuka,Noda,1,655
Shibayama Kofun Cluster 芝山古墳群 Shibayama kofun-gun,Yokoshibahikari,1,647
Kazusa Kokubun-ji Site 上総国分寺 跡 Kazusa Kokubunji ato,Ichihara,3,650
Kazusa Kokubunni-ji Site 上総国分尼寺跡 Kazusa Kokubunniji ato,Ichihara,3,660
Soya Shell Mound 曽谷貝塚 Soya kaizuka,Ichikawa,1,658
Ōhara Yūgaku Former Residence and Grave 大原幽学 遺跡 Ōhara Yūgaku iseki,Asahi,"6 , 7 , 8",645
Nagara Cave Tomb Cluster 長柄横穴群 Nagara yokoana-gun,Nagara,1,661
Dairizuka Kofun 内裏塚古墳 Dairizuka kofun,Futtsu,1,3336
Bentenyama Kofun 弁天山古墳 Bentenyama kofun,Futtsu,1,637
