Site,Municipality,Type,Ref
Kinsei ruins 金生遺跡 Kinsei iseki,Hokuto,1,[ 1 ]
Midai River embankments 御勅使川 旧堤防 Midai gawa kyū-teibō iseki,"Nirasaki , Minami-Alps",6,[ 2 ]
Kaikinzan gold mines 甲斐金山遺跡 Kaikinzan iseki,"Kōshū , Minobu",6,[ 3 ]
Kai Kokubun-ji Site 甲斐国分寺跡 Kai Kokubunji ato,Fuefuki,3,[ 4 ]
Kai Kokubunni-ji Site 甲斐国分寺跡 Kai Kokubunniji ato,Fuefuki,3,[ 5 ]
Katsunuma clan residence ruins Site 勝沼氏館跡 Katsunuma-shi yakata ato,Kōshū,2,[ 6 ]
Shinpu Castle Site 新府城跡 Shinpu-jō ato,Nirasaki,2,[ 7 ]
Yato Castle Site 谷戸城跡 Yato-jō ato,Ōizumi,2,[ 8 ]
"Chōshizuka Kofun , Maruyamazuka Kofun 銚子塚古墳附丸山塚古墳 Chōshizuka kofun tsuketari Maruyamazuka kofun",Kōfu,1,[ 9 ]
Hakusan Castle Site 白山城跡 Hakusan-jō ato,Nirasaki,2,[ 10 ]
Tsutsujigasaki Castle 武田氏館跡 Tsutsujigasaki yakata ato,Kōfu,2,[ 11 ]
Mount Yōgai 要害山 Yōgaizan,Kōfu,2,[ 12 ]
Ōmaruyama Kofun 大丸山古墳 Ōmaruyama kofun,Kōfu,1,[ 13 ]
Umenoki ruins 梅之木遺跡 Umenoki iseki,Hokuto,2,[ 14 ]
Mount Fuji 富士山 Fujisan,"Fujiyoshida , Fujikawaguchiko , Narusawa",3,[ 15 ]
Kōfu Castle Site 甲府城跡 Kōfu-jō ato,Kōfu,,[ 16 ]
