Club,Location,Stadium,Capacity,Position in 2011
BATE Borisov,Borisov,Haradzki Stadium,"5,402",1st
Belshina Bobruisk,Bobruisk,Spartak Stadium,"3,700",5th
Brest,Brest,OSK Brestskiy,"10,060",10th
Dinamo Minsk,Minsk,Dinamo-Yuni Stadium,"4,500",4th
Gomel,Gomel,"Central , Gomel","14,307",3rd
Minsk,Minsk,Dinamo Stadium,"36,900",9th
Naftan Novopolots,Novopolotsk,Atlant Stadium,"4,500",7th
Neman Grodno,Grodno,Neman Stadium,"8,500",8th
Shakhtyor Soligorsk,Soligorsk,Stroitel Stadium,"4,200",2nd
Slavia Mozyr,Mozyr,Yunost Stadium,"5,300","First League , 1st"
Torpedo-BelAZ Zhodino,Zhodino,Torpedo Stadium,"6,542",6th
