Site of unrest,Owner origin,Factory location,Event,Resolution
Foxconn,Taiwan,Shenzhen Guangdong,Numerous suicides . Protests follow in Shenzhen and Hong Kong,"Management offers pay raises of some 30% to 2000 yuan/month in Shenzhen plant , similar raises elsewhere according to local conditions"
Honda Lock,Japan,Xiaolan Zhongshan Guangdong,Protest,Workers return after management offers review of salaries
Honda Foshan Fengfu auto parts,Japan,Foshan Guangdong,Protests and factory cordoned off by police to prevent workers from leaving during work hours ; police clash with workers on 31 May,"Management increases salary from 939 yuan a month to 1,600 yuan . Two week strike ends 11 June"
Flextronics plant,U.S,"Zhuhai , Guangdong","Nearly 1000 workers on strike , demanding wage raises similar to those at Foxconn",
Chimei Innolux Corp ( formerly TPO displays ),Taiwan,"Pudong , Shanghai",Labor dispute over merger,resolved without pay hike
Brother,Japan,Xi'an,Two sewing machine factories halted production for about a week,"Workers return , amidst negotiations with management on pay and conditions"
Merry Electronics,-,Shenzhen Guangdong,"1,000 employees on strike on 6 June",Strike ends after 10% pay increase
Yacheng Electronics,South Korea,Huizhou Guangdong,"2,000 employees on strike , demanding better wages and less overtime",
KOK Machinery,Taiwan,"Kunshan , Jiangsu","2,000 workers clashed with police on 7 June 50 workers injured in clash with police",Strike ends after agreement reached
Henan Pingmian Textiles Group,Zhejiang,"Pingdingshan , Henan","5,500 workers on strike , asking for better pay and working conditions",
Nujiang Transportation Group,Local,"Nujiang Lisu A.P . , Yunnan",More than 120 long-distance bus drivers on strike beginning in April,
Tianjin Star Light Rubber & Plastic,Japanese/Chinese joint venture,Tianjin,Workers strike,Employees return to work after the company agrees to review the pay structure
Toyoda Gosei Co,Japan,Tianjin,"Workers strike after labor and management had agreed , in principle , to a 20% pay raise . Around 40 employees in the distribution division walk off the job , demanding more",Strike ends with 20% wage increases and added benefits
Toyota Tianjin Assembly Plant,Japanese/Chinese joint venture,Tianjin,Lack of parts produced by Tianjin parts factories results in partial suspension of production,Work resumes after strike at suppliers settled
Chongqing Brewery Company / Carlsberg,Chinese/Danish joint venture,Chongqing,Workers of joint venture brewery with Carlsberg strike to oppose share sale . Carlsberg wants to increase stake in CBC from 17.46% to 29.71%,
Denso ( Guangzhou Nansha ),Japan,Guangzhou,Workers at Toyota-affiliated parts maker strike . Lack of injectors leads to work stoppage at Chinese operations of Toyota and Honda,"Workers return after two-day strike , ending parts shortage at car factories"
NHK Spring,Japan,Guangzhou,Workers go on strike . Lack of parts shuts down second Honda plant,NHK strike settled after one day
"Jiexiu factory ( textile , dye , paper , ceramics division )",state-run,Shanxi,Week long protest ending June 2010 . 25% of sacked workers received no pension or medical insurance as stipulated in their benefit packages . Issue has been going on since 2001,
Honda Automobile ( China ) Co,Japanese/Chinese joint venture,Guangzhou,"First strike at car joint venture : Workers strike for two days , return after concessions",Work resumes after two-day strike
Omron,Japan,Guangzhou,800 workers go on strike demanding 40% pay raise,
