Date from,Position,Name,From,Fee
1 July 2018,RM,Nicky Adams,Carlisle United,Free transfer
1 July 2018,CB,Will Aimson,Blackpool,Free transfer
1 July 2018,CF,Chris Dagnall,Crewe Alexandra,Free transfer
1 July 2018,RW,Byron Moore,Bristol Rovers,Free transfer
6 July 2018,RB,Tom Miller,Carlisle United,Free transfer
12 July 2018,CF,Jordan Archer,Chester,Free Transfer
13 July 2018,CF,Gold Omotayo,Whitehawk,Free transfer
16 July 2018,LB,Chris Stokes,Coventry City,Free transfer
24 July 2018,CF,Dom Telford,Stoke City,Free transfer
2 August 2018,LM,Callum McFadzean,Guiseley,Free transfer
29 September 2018,CF,Nicky Maynard,Aberdeen,Free transfer
