Year,Overall,Player,Position,Nationality,Club team
1992,2,Alexei Yashin,Centre,Russia,HC Dynamo Moscow ( Russia )
1993,1,Alexandre Daigle,Right Wing,Canada,Victoriaville Tigres ( QMJHL )
1994,3,Radek Bonk,Centre,Czechoslovakia,Las Vegas Thunder ( IHL )
1995,1,Bryan Berard,Defence,United States,Detroit Jr. Red Wings ( OHL )
1996,1,Chris Phillips,Defence,Canada,Prince Albert Raiders ( WHL )
1997,12,Marian Hossa,Right Wing,Slovakia,HC Dukla Trenčín ( Slovakia )
1998,15,Mathieu Chouinard,Goalie,Canada,Shawinigan Cataractes ( QMJHL )
1999,26,Martin Havlat,Right Wing,Czech Republic,Trinec Ocelari ( Czech . )
2000,21,Anton Volchenkov,Defence,Russia,Krylja Sovetov ( Russia )
2001,2 ( from NYI ),Jason Spezza,Centre,Canada,Windsor Spitfires ( OHL )
2001,23,Tim Gleason,Defence,United States,Windsor Spitfires ( OHL )
2002,16,Jakub Klepis,Centre,Czech Republic,Portland Winterhawks ( WHL )
2003,29,Patrick Eaves,Right Wing,United States,Boston College ( NCAA )
2004,23,Andrej Meszaros,Defence,Slovakia,HC Dukla Trenčín ( Slovakia )
2005,9,Brian Lee,Defence,United States,Lincoln Stars ( USHL )
2006,28,Nick Foligno,Left Wing,United States,Sudbury Wolves ( OHL )
2007,29,Jim O'Brien,Centre,United States,University of Minnesota ( NCAA )
2008,15,Erik Karlsson,Defence,Sweden,Frölunda HC ( Sweden )
2009,9,Jared Cowen,Defence,Canada,Spokane Chiefs ( WHL )
2011,6,Mika Zibanejad,Centre,Sweden,Djurgårdens IF Hockey ( SEL )
