Name,No . Specimens,Abbr,Province,City,Website
"Agriculture and Agri-Food Canada , Vascular Plant Herbarium","1,335,000","DAO , DAOM",Ontario,Ottawa,
Royal Ontario Museum,"860,000","TRT , TRTC",Ontario,Toronto,
"Herbier Marie-Victorin , Université de Montréal","850,000",MT,Quebec,Montreal,[ 1 ]
"National Herbarium of Canada , Canadian Museum of Nature","838,000","CAN , CANM",Ontario,Ottawa,
"Herbier Louis-Marie , Université Laval","770,000",ULF,Quebec,Quebec City,[ 2 ]
University of British Columbia,"560,000",UBC,British Columbia,Vancouver,[ 3 ]
University of Alberta,"320,000",ALTA,Alberta,Edmonton,
"E.C . Smith Herbarium , Acadia University","200,000",ACAD,Nova Scotia,Wolfville,
Royal British Columbia Museum,"188,000",V,British Columbia,Victoria,[ 4 ]
"W.P . Fraser Herbarium , University of Saskatchewan","160,000",SASK,Saskatchewan,Saskatoon,[ 5 ]
Royal Alberta Museum,"160,000",PMAE,Alberta,Edmonton,[ 6 ]
Herbier du Québec,"153,000",QUE,Quebec,Quebec City,
"Fowler Herbarium , Queen 's University","142,000",QK,Ontario,Kingston,[ 7 ]
McGill University Herbarium,"137,000",MTMG,Quebec,Montreal,[ 8 ]
"Agnes Marion Ayre Herbarium , Memorial University of Newfoundland","120,000",NFLD,Newfoundland and Labrador,St. John 's,
"Claude Garton Herbarium , Lakehead University","105,000",LKHD,Ontario,Thunder Bay,[ 9 ]
"University of Manitoba Herbarium , University of Manitoba","90,000",WIN,Manitoba,Winnipeg,[ 10 ]
"Connell Memorial Herbarium , University of New Brunswick","67,000",UNB,New Brunswick,Fredericton,[ 11 ]
"RBG Herbarium , Royal Botanical Gardens","60,000",HAM,Ontario,Burlington,
"University of Lethbridge Herbarium , University of Lethbridge","21,800",LEA,Alberta,Lethbridge,[ 12 ]
